celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Sncg_6,cell,-0.01965,0.03586,0.5838,-0.08994,0.05065,-1.95,512,633,12,12,True,0.9356
Sncg_6,nucleus,0.02277,0.07416,0.7588,-0.12258,0.16813,2.3,512,633,12,12,True,0.9817
Sncg_8,cell,0.00414,0.04054,0.9186,-0.07532,0.08361,0.42,305,308,12,12,True,0.9638
Sncg_8,nucleus,-0.01701,0.0891,0.8486,-0.19164,0.15763,-1.69,305,308,12,12,True,0.9817
Sst Chodl_1,cell,-0.02484,0.03885,0.5226,-0.10097,0.0513,-2.45,239,301,12,12,True,0.8959
Sst Chodl_1,nucleus,-0.0046,0.07189,0.9489,-0.14551,0.1363,-0.46,239,301,12,12,True,0.9817
Sst_1,cell,0.04524,0.03086,0.1427,-0.01525,0.10572,4.63,253,274,12,12,True,0.6520
Sst_1,nucleus,0.03081,0.05315,0.5622,-0.07337,0.13498,3.13,253,274,12,12,True,0.9817
Sst_10,cell,0.0227,0.02607,0.3840,-0.0284,0.0738,2.3,1669,1890,12,12,True,0.8955
Sst_10,nucleus,0.01485,0.03825,0.6979,-0.06013,0.08982,1.5,1669,1890,12,12,True,0.9817
Sst_11,cell,-0.01724,0.02499,0.4902,-0.06622,0.03174,-1.71,1401,1873,12,12,True,0.8955
Sst_11,nucleus,0.01003,0.05883,0.8647,-0.10527,0.12532,1.01,1401,1873,12,12,True,0.9817
Sst_12,cell,0.03074,0.03757,0.4132,-0.04289,0.10438,3.12,440,330,12,12,True,0.8955
Sst_12,nucleus,0.02774,0.05218,0.5949,-0.07453,0.13002,2.81,440,330,12,12,True,0.9817
Sst_13,cell,0.01786,0.0213,0.4016,-0.02388,0.05961,1.8,1052,1012,12,12,True,0.8955
Sst_13,nucleus,-0.00575,0.03938,0.8840,-0.08294,0.07145,-0.57,1052,1012,12,12,True,0.9817
Sst_19,cell,-0.0361,0.02008,0.0723,-0.07546,0.00327,-3.55,1985,1768,12,12,True,0.6520
Sst_19,nucleus,-0.00752,0.03217,0.8152,-0.07056,0.05553,-0.75,1985,1768,12,12,True,0.9817
Sst_2,cell,-0.0335,0.0254,0.1873,-0.08329,0.01629,-3.29,793,546,12,12,True,0.7178
Sst_2,nucleus,-0.03822,0.03911,0.3283,-0.11487,0.03842,-3.75,793,546,12,12,True,0.9817
Sst_20,cell,-0.00477,0.02026,0.8138,-0.04448,0.03494,-0.48,1612,1722,12,12,True,0.9485
Sst_20,nucleus,0.00966,0.03606,0.7888,-0.06102,0.08033,0.97,1612,1722,12,12,True,0.9817
Sst_22,cell,0.00723,0.02492,0.7718,-0.04162,0.05607,0.73,1225,1130,12,12,True,0.9485
Sst_22,nucleus,0.03645,0.0504,0.4696,-0.06234,0.13523,3.71,1225,1130,12,12,True,0.9817
Sst_25,cell,0.01391,0.02068,0.5010,-0.02661,0.05444,1.4,1056,386,12,12,True,0.8955
Sst_25,nucleus,0.04643,0.03877,0.2311,-0.02955,0.12241,4.75,1056,386,12,12,True,0.9817
Sst_3,cell,-0.02494,0.02376,0.2940,-0.07151,0.02164,-2.46,1620,804,12,12,True,0.8955
Sst_3,nucleus,-0.00618,0.0403,0.8782,-0.08516,0.0728,-0.62,1620,804,12,12,True,0.9817
Sst_4,cell,-0.01254,0.04182,0.7643,-0.09452,0.06943,-1.25,349,427,12,12,True,0.9485
Sst_4,nucleus,-0.02876,0.07265,0.6922,-0.17116,0.11364,-2.83,349,427,12,12,True,0.9817
Sst_5,cell,-0.01461,0.02019,0.4693,-0.05419,0.02496,-1.45,659,956,12,12,True,0.8955
Sst_5,nucleus,-0.03154,0.03247,0.3313,-0.09518,0.03209,-3.11,659,956,12,12,True,0.9817
Sst_7,cell,-0.05569,0.04139,0.1785,-0.13682,0.02544,-5.42,303,349,12,12,True,0.7140
Sst_7,nucleus,-0.05808,0.05702,0.3084,-0.16984,0.05368,-5.64,303,349,12,12,True,0.9817
Sst_9,cell,0.00541,0.02925,0.8533,-0.05191,0.06273,0.54,533,429,12,12,True,0.9485
Sst_9,nucleus,-0.02799,0.05384,0.6031,-0.13351,0.07753,-2.76,533,429,12,12,True,0.9817
VLMC_1,cell,-0.00462,0.03725,0.9013,-0.07762,0.06839,-0.46,2392,1822,12,12,True,0.9638
VLMC_1,nucleus,0.01266,0.03652,0.7288,-0.05892,0.08425,1.27,2392,1822,12,12,True,0.9817
Vip_1,cell,-0.00193,0.01863,0.9173,-0.03845,0.03458,-0.19,1343,1503,12,12,True,0.9638
