supertype,diagnosis,n_cells,cell_area_median,cell_area_mean,cell_area_std,nucleus_area_median,nucleus_area_mean,nucleus_area_std,nc_ratio_median
L6 IT Car3_2,Control,1001,157.1,167.5,71.0,29.4,35.6,27.5,0.191
Micro-PVM_4-SEAAD,SCZ,5000,157.1,159.0,59.2,31.0,31.4,17.9,0.195
Pericyte_1,Control,7187,155.9,157.2,44.8,35.0,34.8,9.8,0.22
L5/6 NP_3,SCZ,634,155.6,160.6,54.5,33.3,33.2,19.9,0.205
L4 IT_3,Control,3609,155.3,161.5,58.8,29.3,32.4,21.7,0.187
Astro_5,SCZ,20667,154.7,164.9,66.0,25.8,31.2,22.7,0.173
L6b_4,SCZ,581,154.0,163.5,65.1,35.6,38.2,24.7,0.228
Micro-PVM_2_1-SEAAD,SCZ,14219,153.8,161.5,62.2,27.4,31.3,20.8,0.183
Micro-PVM_4-SEAAD,Control,2791,153.7,157.1,62.1,28.7,30.8,19.1,0.191
Sst Chodl_2,SCZ,164,153.6,165.7,79.0,24.4,35.7,33.2,0.177
Lamp5_Lhx6_1,SCZ,1738,153.5,150.0,49.3,29.4,27.1,13.2,0.18
L6 IT Car3_2,SCZ,967,152.9,161.6,63.3,29.4,33.8,24.1,0.193
Sncg_6,Control,512,152.8,165.2,63.7,21.8,30.1,23.4,0.157
Astro_1,Control,98,152.6,157.7,59.5,24.7,27.8,18.0,0.172
L6b_4,Control,231,151.8,161.8,60.7,34.9,36.2,23.5,0.211
OPC_1,SCZ,1432,151.2,154.2,54.5,32.3,31.8,18.3,0.199
Sncg_6,SCZ,633,151.0,161.7,61.5,22.9,29.4,21.9,0.158
L6 CT_4,SCZ,2826,149.4,158.2,64.0,29.2,32.7,23.1,0.195
Lamp5_6,SCZ,751,148.9,160.1,68.0,21.4,28.1,22.1,0.149
Micro-PVM_1,SCZ,1559,148.3,153.8,62.6,36.1,37.2,19.9,0.236
Pvalb_1,Control,140,148.2,164.8,71.2,25.6,32.4,24.6,0.165
L4 IT_1,SCZ,7046,148.2,157.1,55.6,24.1,28.8,20.3,0.166
L2/3 IT_3,SCZ,89,148.0,158.8,69.7,27.6,32.6,24.9,0.183
L5 ET_1,Control,3176,147.8,157.1,62.4,24.5,30.0,22.9,0.17
Lymphocyte,Control,502,147.6,157.2,67.7,28.8,34.3,24.4,0.21
Oligo_2_1-SEAAD,Control,23823,147.2,150.5,49.7,27.5,27.2,16.1,0.178
Sncg_2,SCZ,298,147.2,163.6,63.9,21.0,28.3,21.9,0.142
L5 ET_1,SCZ,2633,147.1,156.2,63.3,25.4,30.7,24.0,0.176
Micro-PVM_2_1-SEAAD,Control,11132,146.3,156.6,61.4,23.6,29.0,20.5,0.169
L2/3 IT_3,Control,109,146.1,162.2,77.2,24.3,34.8,29.7,0.181
Micro-PVM_1,Control,2105,145.8,151.1,62.0,36.5,37.6,20.0,0.244
Sst Chodl_2,Control,170,145.8,168.5,88.0,21.2,35.6,35.2,0.167
OPC_2,SCZ,128,145.6,144.4,52.1,27.9,26.0,14.7,0.177
OPC_1,Control,1129,145.1,151.6,56.5,31.7,32.2,19.5,0.21
VLMC_1,Control,2392,143.9,148.6,60.9,34.7,36.5,19.2,0.24
VLMC_1,SCZ,1822,143.6,149.3,61.7,34.9,37.2,19.8,0.243
Sncg_2,Control,260,143.0,151.5,55.8,15.7,24.3,19.6,0.122
Lamp5_6,Control,844,142.6,152.9,62.3,17.0,25.6,21.8,0.129
Endo_1,SCZ,14510,142.4,146.2,62.0,32.4,33.9,20.1,0.223
L4 IT_1,Control,5913,141.0,150.3,54.0,18.2,25.2,19.6,0.136
L5/6 NP_3,Control,354,141.0,146.3,49.6,22.4,27.1,19.4,0.161
Lymphocyte,SCZ,626,140.6,152.4,66.3,29.3,32.3,22.9,0.198
OPC_2_2-SEAAD,Control,2310,140.0,148.2,55.1,19.6,24.9,18.1,0.147
Astro_1,SCZ,188,137.2,148.8,58.3,23.1,26.0,15.3,0.169
L6 CT_4,Control,1870,136.6,145.3,57.8,21.0,27.2,20.5,0.163
Endo_1,Control,17033,132.5,136.0,60.3,31.5,32.6,18.9,0.233
Pericyte_2-SEAAD,Control,16942,131.3,138.6,61.6,25.1,29.1,20.2,0.197
Pericyte_2-SEAAD,SCZ,25580,131.2,138.6,61.8,25.8,29.7,20.5,0.201
Sncg_1,Control,261,126.1,133.8,46.8,11.4,18.7,15.9,0.101
Sncg_1,SCZ,292,120.9,133.3,54.8,12.2,20.0,17.9,0.112
SMC-SEAAD,SCZ,18389,100.4,110.0,56.1,20.7,25.3,18.2,0.215
SMC-SEAAD,Control,19471,98.2,106.9,54.0,20.8,24.7,16.8,0.22
Pvalb_3,Control,1,74.4,74.4,,11.8,11.8,,0.158
Pvalb_3,SCZ,1,68.9,68.9,,7.4,7.4,,0.108
