sample_id,diagnosis,celltype,count,n_cortical,cortical_area_mm2,proportion_pct,density_per_mm2
Br6437,SCZ,Sst_20,154,41730,61.089769689984855,0.3690390606278457,2.5208803500407857
Br6437,SCZ,Sst_3,96,41730,61.089769689984855,0.23005032350826743,1.5714578805449053
Br6437,SCZ,Pvalb_14,0,41730,61.089769689984855,0.0,0.0
Br6437,SCZ,Pvalb_7,0,41730,61.089769689984855,0.0,0.0
Br6437,SCZ,L5/6 NP_4,263,41730,61.089769689984855,0.630242032111191,4.305139818576147
Br6437,SCZ,L2/3 IT_7,780,41730,61.089769689984855,1.8691588785046727,12.768095279427357
Br6437,SCZ,L6b_1,1074,41730,61.089769689984855,2.573687994248742,17.58068503859613
Br6437,SCZ,L6b_2,800,41730,61.089769689984855,1.917086029235562,13.095482337874211
Br6437,SCZ,L6b_4,65,41730,61.089769689984855,0.1557632398753894,1.0640079399522797
Br6437,SCZ,L6 CT_1,0,41730,61.089769689984855,0.0,0.0
Br6437,SCZ,L6 CT_3,133,41730,61.089769689984855,0.31871555236041216,2.1771239386715875
Br6496,SCZ,Sst_2,8,38677,51.29230314968365,0.020684127517646145,0.15596882005189
Br6496,SCZ,Sst_22,15,38677,51.29230314968365,0.03878273909558653,0.29244153759729374
Br6496,SCZ,Sst_25,24,38677,51.29230314968365,0.06205238255293844,0.46790646015567006
Br6496,SCZ,Sst_20,161,38677,51.29230314968365,0.4162680662926287,3.1388725035442864
Br6496,SCZ,Sst_3,145,38677,51.29230314968365,0.3748998112573364,2.8269348634405063
Br6496,SCZ,Pvalb_14,0,38677,51.29230314968365,0.0,0.0
Br6496,SCZ,Pvalb_7,1,38677,51.29230314968365,0.002585515939705768,0.01949610250648625
Br6496,SCZ,L5/6 NP_4,299,38677,51.29230314968365,0.7730692659720247,5.829334649439389
Br6496,SCZ,L2/3 IT_7,1140,38677,51.29230314968365,2.947488171264576,22.225556857394327
Br6496,SCZ,L6b_1,950,38677,51.29230314968365,2.45624014272048,18.52129738116194
Br6496,SCZ,L6b_2,675,38677,51.29230314968365,1.7452232593013934,13.15986919187822
Br6496,SCZ,L6b_4,108,38677,51.29230314968365,0.27923572148822295,2.1055790707005153
Br6496,SCZ,L6 CT_1,0,38677,51.29230314968365,0.0,0.0
Br6496,SCZ,L6 CT_3,123,38677,51.29230314968365,0.3180184605838095,2.398020608297809
Br8433,Control,Sst_2,8,47229,59.481553701495024,0.016938745262444686,0.13449547804597656
Br8433,Control,Sst_22,18,47229,59.481553701495024,0.03811217684050054,0.30261482560344727
Br8433,Control,Sst_25,40,47229,59.481553701495024,0.08469372631222342,0.6724773902298828
Br8433,Control,Sst_20,207,47229,59.481553701495024,0.43829003366575625,3.4800704944396434
Br8433,Control,Sst_3,150,47229,59.481553701495024,0.31760147367083785,2.5217902133620607
Br8433,Control,Pvalb_14,0,47229,59.481553701495024,0.0,0.0
Br8433,Control,Pvalb_7,0,47229,59.481553701495024,0.0,0.0
Br8433,Control,L5/6 NP_4,347,47229,59.481553701495024,0.7347180757585382,5.833741360244233
Br8433,Control,L2/3 IT_7,1009,47229,59.481553701495024,2.1363992462258357,16.963242168548796
Br8433,Control,L6b_1,722,47229,59.481553701495024,1.5287217599356326,12.138216893649385
Br8433,Control,L6b_2,536,47229,59.481553701495024,1.134895932583794,9.01119702908043
Br8433,Control,L6b_4,32,47229,59.481553701495024,0.06775498104977874,0.5379819121839062
