supertype,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC,coef,se,tstat,pval,class,fdr
Chandelier_2,L1-L6,24,12,12,5.19796882333287,5.6304236756634936,0.07991675416486667,0.10149823501179106,0.11822869809651308,0.8584906765101606,0.40132251111175987,GABA,0.7116309078501246
Sncg_5,L1-L6,24,12,12,0.7260141331068973,0.6127807720400382,-0.16956224100985753,-0.06358819233746263,0.07650915224261935,-0.8311187678020158,0.41622937368038704,GABA,0.7116309078501246
Sst_23,L1-L6,24,12,12,0.21313586917933328,0.18338036288079576,-0.15036736435340237,-0.03013653797855853,0.03629496112265392,-0.8303229166361735,0.41666802311247436,GABA,0.7116309078501246
Pax6_2,L1-L6,24,12,12,1.8016723607647978,1.5328398722708558,-0.16159318228062788,-0.07606239057192474,0.0918306736898836,-0.8282895846848617,0.4177900724651888,GABA,0.7116309078501246
SMC-SEAAD,L1-L6,24,12,12,1.9356767371543409,1.5893148160252941,-0.1971540102659427,0.26262322410217315,0.3204926231444969,0.8194360966110823,0.4226980580463146,NN,0.7116309078501246
VLMC_1,L1-L6,24,12,12,0.3046685805211372,0.3474277530251495,0.13133217386166196,0.08882318134104387,0.11069217998021122,0.8024341137460936,0.4322250117240204,NN,0.7185740819911839
Astro_5,L1-L6,24,12,12,30.05880505448381,28.84550747990343,-0.04120137062703866,-0.12274644379127464,0.16163037797499732,-0.7594268189502245,0.4569167916201349,NN,0.7357447888328381
Pax6_1,L1-L6,24,12,12,1.5154300932758848,1.349545558871524,-0.11593137590133634,-0.07278333032793993,0.09635403089659325,-0.7553740061591269,0.4592870809220873,GABA,0.7357447888328381
Vip_19,L1-L6,24,12,12,1.7631019313070182,1.5680844176227444,-0.11721996045948266,-0.08236221856387507,0.10933848898485991,-0.7532774536081229,0.4605161663475445,GABA,0.7357447888328381
Lamp5_3,L1-L6,24,12,12,1.472749157398365,1.353137354647968,-0.08470496666860419,-0.0722597262637713,0.09683716327427466,-0.7461982964030867,0.4646809192628451,GABA,0.7357447888328381
L5 IT_3,L1-L6,24,12,12,0.36749993805246634,0.44029738019208525,0.18072721260380334,0.043292673714501836,0.060727014761338446,0.7129063380547385,0.48456810972596437,Glut,0.7457274339041012
Vip_4,L1-L6,24,12,12,2.0288578398931945,1.8505374318870549,-0.09199689364053223,-0.06199263451121756,0.0873404175813659,-0.7097817508539563,0.48645989729786143,GABA,0.7457274339041012
L5 ET_1,L1-L6,24,12,12,4.669357320305652,4.252521347650814,-0.09350937813325366,-0.10597145030009852,0.14976991367070028,-0.7075616704507047,0.4878066672906527,Glut,0.7457274339041012
Pvalb_8,L1-L6,23,11,12,0.10627263266022254,0.1188477968713298,0.11183585818895003,0.018413258420350142,0.02687531971133186,0.6851363488184393,0.5019863780873621,GABA,0.7503167962179133
L4 IT_2,L1-L6,24,12,12,11.86217104549178,10.214047735545373,-0.14959043117384918,-0.13208407996862997,0.19541608388542306,-0.6759120198421021,0.5072409985005332,Glut,0.7503167962179133
L2/3 IT_6,L1-L6,24,12,12,12.910778955575658,12.385139705378231,-0.04156519733243811,-0.10448713399311682,0.1547683332982838,-0.6751195917561481,0.507733170373024,Glut,0.7503167962179133
Vip_5,L1-L6,24,12,12,0.4944586808666316,0.5642908905841787,0.13210629181139602,0.04775438067937539,0.07569676131301857,0.6308642516672961,0.5356449926866738,GABA,0.7819634374290423
Pvalb_5,L1-L6,24,12,12,0.7571488942637975,0.5670240037032217,-0.2891582866038177,-0.06151228793991325,0.09992958482456038,-0.6155563244649341,0.545491008588547,GABA,0.7819634374290423
Pvalb_9,L1-L6,24,12,12,0.9267034357112003,1.0850184822154985,0.15771870407505084,0.051049721285362185,0.08346017683982641,0.6116656256712092,0.5480088843127459,GABA,0.7819634374290423
OPC_1,L1-L6,24,12,12,0.718771001716893,0.6519764556351331,-0.09753436117912,-0.03860027343576157,0.06455239157061564,-0.597968138694531,0.5569223776989282,NN,0.7819634374290423
Sst_9,L1-L6,24,12,12,0.7755089300428383,0.6967569480090813,-0.10708285941876054,-0.04614946534262744,0.0774987400373863,-0.5954866533360981,0.5585453124493159,GABA,0.7819634374290423
Chandelier_1,L1-L6,24,12,12,3.450788328282236,3.100326723489425,-0.10709520528079472,-0.07027936071836044,0.12224019070021395,-0.5749284283326747,0.5720855488420432,GABA,0.7906414126347162
Sst_12,L1-L6,23,12,11,0.5866242802029565,0.5198361994444339,-0.12087078621608541,-0.035483039401008,0.06240084525181447,-0.5686307494364627,0.5766332107185524,GABA,0.7906414126347162
Lamp5_6,L1-L6,24,12,12,1.257188168974219,1.1820003253312332,-0.06166942105971717,-0.05209623914053621,0.09470743922187272,-0.5500754699796018,0.5886764963806248,GABA,0.7968308196112154
Sst Chodl_1,L1-L6,24,12,12,0.20188423815421389,0.2362014821394243,0.15699072399312808,0.023111506640041846,0.04252622859412599,0.5434647605509547,0.5931297078309047,GABA,0.7968308196112154
Pvalb_1,L1-L6,24,12,12,0.21219449219313516,0.2618247684036407,0.2101721870039171,0.028572028592398956,0.057185219116835516,0.4996400999010469,0.623065193423042,GABA,0.8286767072526459
Micro-PVM_3-SEAAD,L1-L6,24,12,12,9.141902172897387,7.596250388343456,-0.18521372341927103,-0.11610850878058088,0.23953051744867532,-0.48473367826903174,0.6334065286662194,NN,0.8340897852733383
L6 CT_2,L1-L6,24,12,12,1.6686369019194405,2.1788120208234876,0.26677271694937493,0.08965646477252226,0.19097190916301585,0.46947462150567104,0.6440732647922999,Glut,0.8398210217389793
Vip_21,L1-L6,24,12,12,1.576931806519432,1.7595360338160668,0.10956909263789566,0.04471512727474086,0.0975044245592604,0.45859587887280223,0.6517268185985404,GABA,0.8415501638214162
Vip_9,L1-L6,24,12,12,0.6226674832689881,0.5369527147439942,-0.14810260542826578,-0.028190538715328825,0.07194294378370332,-0.3918457771214334,0.6995325034444762,GABA,0.8868526427419732
L2/3 IT_5,L1-L6,24,12,12,3.4917430425807274,4.00354389967027,0.13677889312234184,0.04811485362977233,0.12305576322480075,0.3910004080172592,0.7001468232173472,Glut,0.8868526427419732
Micro-PVM_1,L1-L6,24,12,12,0.7759679054921187,0.7062981138121384,-0.09407375453410945,0.04206838746002883,0.1102730920788936,0.38149277096475626,0.7070704269863386,NN,0.8871732715960664
Sncg_8,L1-L6,24,12,12,0.45191317966476974,0.48804203681661473,0.07691146216612245,0.019457852161386215,0.0538387976590524,0.36140948549051766,0.7217811019845368,GABA,0.896150958294551
L6b_3,L1-L6,22,11,11,0.43343636435092137,0.4841672502869161,0.11068541506219821,0.033672368821548504,0.09512337098574142,0.35398628615249395,0.7277015300436955,Glut,0.896150958294551
L5/6 NP_4,L1-L6,24,12,12,1.5258237399847507,1.5363745996725244,0.006891063392775199,-0.03839602019092431,0.11164886538847661,-0.343899779521514,0.7346982868872116,Glut,0.8962939746856838
L4 IT_3,L1-L6,24,12,12,5.266628367400545,5.324181251393041,0.010868564841127458,0.03479318417628047,0.10386044390577734,0.3349993786647494,0.7412957685370317,Glut,0.8962939746856838
Lamp5_4,L1-L6,24,12,12,1.2918074061372935,1.2831584395547326,-0.006717758313638297,-0.03128238629047175,0.09827057818735993,-0.3183291160740871,0.7537078069314035,GABA,0.9022233661153849
Vip_14,L1-L6,24,12,12,0.1452193330776968,0.13717336076709033,-0.05699970851088184,-0.009091103345571378,0.029304875759490943,-0.3102249407294297,0.7597670451497978,GABA,0.9022233661153849
L6 IT Car3_3,L1-L6,24,12,12,1.1164653482747828,1.2672823592209361,0.126706977249655,0.04505649525406036,0.16251631357674196,0.27724290726533246,0.7845875340492087,Glut,0.9192821970357107
L2/3 IT_13,L1-L6,24,12,12,0.60250496557523,0.6754942101619417,0.11434867922519808,0.02081057142983128,0.0762874129381764,0.27279167857869613,0.787956168887752,Glut,0.9192821970357107
Sst_22,L1-L6,24,12,12,1.8161954225185761,1.797845365956188,-0.01015495691891799,-0.02722636272581322,0.10397211918041249,-0.26186215054989903,0.7962455742185963,GABA,0.9208753162702027
L2/3 IT_3,L1-L6,24,12,12,0.15868770976783675,0.14308046343162736,-0.10353102800248158,-0.010075047135009332,0.043165824879038896,-0.23340332689673038,0.8179444274526936,Glut,0.9378155935448987
Pax6_4,L1-L6,24,12,12,0.29028943739575985,0.29528626577249567,0.017066793027396762,0.00968527053059999,0.04659826574230776,0.20784615857080033,0.8375607474013006,GABA,0.9400222647087061
Vip_18,L1-L6,24,12,12,1.3263148687248545,1.2678723101039215,-0.04506417200182973,-0.02036398120205729,0.09882266213598079,-0.20606590393240254,0.8389314122721291,GABA,0.9400222647087061
Sst_13,L1-L6,24,12,12,1.5635054517885172,1.60856402697676,0.02841148747634163,0.016833005970234738,0.0828044265519614,0.20328630571062162,0.8410725526341054,GABA,0.9400222647087061
