celltype,beta_snrnaseq,se_snrnaseq,pval_snrnaseq,padj_snrnaseq,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC_density,coef,se_density,tstat,pval_density,class,fdr_density
L5/6 NP_1,0.036994958884966,0.0637298265675389,0.561579659970754,0.786920305648997,cortical,24,12,12,1.0052908061466277,1.1401220758864632,0.1258584817796679,0.0779499326328794,0.0904230462740635,0.8620582456005821,0.399405391126225,Glut,0.7116309078501246
L2/3 IT_5,-0.04189726063948,0.0563552386355641,0.457209728300242,0.725161804665052,cortical,24,12,12,3.491743042580727,4.00354389967027,0.1367788931223418,0.0481148536297723,0.1230557632248007,0.3910004080172592,0.7001468232173472,Glut,0.8868526427419732
L6 IT Car3_2,0.027995281250069,0.0852044968888781,0.74248392328774,0.910999400823907,cortical,24,12,12,1.211583975375365,1.2455037476870157,0.0276114906165427,0.0175541400574502,0.1705909521791928,0.1029019407723975,0.9191191313486266,Glut,0.9789314658711228
L5 ET_2,0.0627526232524604,0.0749759427050267,0.402609367618143,0.696578112228216,cortical,24,12,12,2.2800209853917366,1.6866389388700451,-0.3014468919521499,-0.2056078612456896,0.12054039488855,-1.705717501886332,0.1043553779125523,Glut,0.3524166361969111
Vip_6,0.0151278477964083,0.0632472158452404,0.810961367501729,0.961919380354394,cortical,24,12,12,0.3966304966211729,0.3539847652035978,-0.1137512322315578,-0.008156312568992,0.0686902737969332,-0.1187404288575739,0.9067274284380143,GABA,0.9789314658711228
Vip_4,-0.0687142701441916,0.0478809304254671,0.151256539374509,0.499604933085498,cortical,24,12,12,2.0288578398931945,1.8505374318870549,-0.0919968936405322,-0.0619926345112175,0.0873404175813659,-0.7097817508539563,0.4864598972978614,GABA,0.7457274339041012
L5/6 NP_2,0.152629704450451,0.0760417986694187,0.0447303226202571,0.305703809828044,cortical,24,12,12,0.8107547614044669,1.0684034637451756,0.2759551052139266,0.1422485967692839,0.0719744707038025,1.9763757257025407,0.0628124703012855,Glut,0.269845700267744
Pax6_1,-0.0332602293344894,0.0586025879247094,0.570336735286888,0.786920305648997,cortical,24,12,12,1.5154300932758848,1.349545558871524,-0.1159313759013363,-0.0727833303279399,0.0963540308965932,-0.7553740061591269,0.4592870809220873,GABA,0.7357447888328381
L5 IT_1,-0.0040694693313462,0.0525882032035817,0.938318313597857,0.995669874819086,cortical,24,12,12,1.3576435333479762,2.0381313890865997,0.4062829015167458,0.2525967346860061,0.0986731228172023,2.559934534087424,0.0191509392174309,Glut,0.1627998615818441
Vip_21,0.0114308683093151,0.0608229756476285,0.850926285986344,0.961919380354394,cortical,24,12,12,1.576931806519432,1.7595360338160668,0.1095690926378956,0.0447151272747408,0.0975044245592604,0.4585958788728022,0.6517268185985404,GABA,0.8415501638214162
Vip_5,-0.0965279301348535,0.065405364906343,0.139986536167956,0.499604933085498,cortical,24,12,12,0.4944586808666316,0.5642908905841787,0.132106291811396,0.0477543806793753,0.0756967613130185,0.6308642516672961,0.5356449926866738,GABA,0.7819634374290423
Lamp5_5,0.0001788859426369,0.0599011047709173,0.997617237275197,0.997617237275197,cortical,24,12,12,1.95260759963187,1.527897996120142,-0.2452727778094215,-0.1893357144340799,0.1199829516210796,-1.5780218095652832,0.1310649950468572,GABA,0.3747671494402678
Sncg_4,-0.0022464953554502,0.066013609441946,0.972852597134413,0.995669874819086,cortical,24,12,12,1.6091489767331784,1.6428151573354497,0.0207058762172187,0.0097325335411799,0.0956839938297054,0.1017153773754628,0.9200483701796268,GABA,0.9789314658711228
Sst_4,0.0416898873119017,0.0659924621571455,0.527558674671892,0.766718607189817,cortical,24,12,12,0.4285641520160284,0.606018381545295,0.346469878370758,0.1043063445281417,0.0731843578520265,1.425254625299052,0.1703050227704865,GABA,0.4194549634902725
Sst_10,0.07088016835135,0.0582623091165044,0.223767921882224,0.552868160375212,cortical,24,12,12,2.300925520756867,2.9602901192053417,0.2519758344551554,0.1582648647821841,0.0971396304661652,1.6292512543303257,0.1197273800103933,GABA,0.3703195707298213
L4 IT_2,-0.0171930519235433,0.0497270524300618,0.729531759937806,0.910999400823907,cortical,24,12,12,11.86217104549178,10.214047735545371,-0.1495904311738491,-0.1320840799686299,0.195416083885423,-0.6759120198421021,0.5072409985005332,Glut,0.7503167962179133
L6b_6,0.103381130437337,0.0807303536341445,0.200343604661907,0.519939354955901,cortical,23,12,11,3.138208432484021,4.308387814621738,0.3169117030225698,0.2752590845588855,0.2581554482668684,1.066253245503214,0.3004027482714266,Glut,0.5963218734343244
