compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L2/3,L6 IT,0.001669177001382425,0.001054399342348238,0.12909354015802935,0.00013687827067945454,0.8983059512586983,8.01529604218968e-06,0.8970656979496301,0.11944763470800879,24,0.0061649087638484005,0.00786627862219019,0.3607025386768467,0.5208847623861574
Non-neuronal,L6,L5/6 NP,-0.0003522394160458213,0.00022560334100592418,0.13413274547984239,0.0003061219847862164,0.19117772198866356,1.373802380844586e-05,0.3064314824396959,0.20279614224152742,24,0.00059680742897495,0.00030570545340455004,0.7293766190660526,0.8307565234496712
Neuronal,L2/3,Chandelier,-0.002868104971312298,0.001848413164736433,0.13642502018840474,7.721047958499181e-05,0.9671917532735698,-0.00023515048411253692,0.040322549907171414,0.29815702890607143,24,0.02628094900938119,0.022809454655902464,0.37029648336852716,0.5208847623861574
Non-neuronal,L2/3,Oligodendrocyte,-0.04854120224226409,0.03233863310720146,0.14897143839943805,0.042635463120640205,0.20354115869074108,-0.0008937838802419141,0.638972712778199,0.16723350985433916,24,0.5186040711711654,0.47129794465952735,0.7293766190660526,0.44691431519831415
Non-neuronal,L6,Oligodendrocyte,-0.03313828951748893,0.022195838788858606,0.15104664062721296,0.023433767547595796,0.3050424515377073,0.0002856174996738389,0.8267239009962255,0.1370116529207528,24,0.7301568419774841,0.6997120678047822,0.7293766190660526,0.8307565234496712
Non-neuronal,L4,Lamp5,0.0002816270184665127,0.0001910021666882664,0.15592299022445238,-0.0002976941586130696,0.13586225002230728,7.499730334592523e-06,0.5063035125068421,0.19306648232593981,24,0.0,0.00027626847258313336,0.7293766190660526,0.619333218357568
Neuronal,L2/3,Oligodendrocyte,-0.000334230055001818,0.00022818089918539636,0.15853014507404792,0.00013690703536669974,0.5563991911960057,-7.2001965778144144e-06,0.5925386502137465,0.12573326472842372,24,0.001265885035056825,0.0009243913898771002,0.4107473903715016,0.5208847623861574
Neuronal,L4,L4 IT,0.006385396413177987,0.004375260901629835,0.159975299407848,-0.002354110707735023,0.5975498755294261,-0.0007137097610818967,0.010777036954320064,0.32820079113933365,24,0.046698592771069185,0.051036925978196875,0.4107473903715016,0.3431470173992188
Non-neuronal,L5,L5 IT,0.00029319834409592,0.00020298896466178296,0.16410973928986183,0.00014797926797787162,0.47573245817524934,-8.053322790289592e-06,0.5019397207834662,0.12651703851162677,24,0.00017380727757974998,0.00045845227690434167,0.7293766190660526,0.8211810334303553
Neuronal,L4,L5/6 NP,-9.418700805569887e-05,6.607549209407727e-05,0.16944946094316032,-9.337603041759281e-05,0.17418621069248652,4.536508034411321e-06,0.25054293441086756,0.19689017266993047,24,0.00020511863177718329,0.000114914965355925,0.4164830244698973,0.3431470173992188
Neuronal,L4,Pax6,0.0036559278342321168,0.0025949470998015553,0.17423343598731966,-0.0017599112184679012,0.5066480573386537,-0.0001065093269425257,0.48745116508455744,0.11900054645982194,24,0.023217855125143235,0.02645090950329874,0.4164830244698973,0.3431470173992188
Neuronal,L6,Astrocyte,-0.007976842259315234,0.005677433644661071,0.17536127346100938,0.0045845576184391085,0.4302094473135455,0.0007025859072872745,0.04550647146256733,0.2545518994083219,24,0.10152208230676692,0.0957493259685533,0.4164830244698973,0.38260641482402047
Neuronal,L4,L2/3 IT,-0.017422645341472552,0.012864152165460023,0.19072774872666765,0.028624053217305892,0.038250655423602606,-0.00023885199683891913,0.7522693219521446,0.24367490547222148,24,0.31234628058931363,0.2966895501708143,0.44193014948862014,0.3431470173992188
Neuronal,L4,Pvalb,0.0016490170571809653,0.0012447088633942176,0.20016909348287767,-0.0020656523733702187,0.11359912809708325,3.0503128682719797e-05,0.6772481378340607,0.17975336819002774,24,0.011773188565066742,0.013329172704850708,0.44557990344958714,0.3431470173992188
Neuronal,L2/3,L4 IT,0.0005685408885137608,0.00043205063145056145,0.20308799647682174,0.00021189472454141212,0.630160708803014,-3.833262768137351e-05,0.14187391879562755,0.15694461180009722,24,0.0033690538754389833,0.003855843376544167,0.44557990344958714,0.5273998389368213
Neuronal,L2/3,L5 IT,7.763545109934879e-05,5.9445075118967596e-05,0.20637385001875616,-4.7779673440494265e-05,0.43231677237795674,3.121520491746826e-06,0.3761992878873921,0.1390772742643046,24,0.00014950434822945627,0.0002312533030173606,0.44557990344958714,0.5273998389368213
Neuronal,L6,L5 ET,-0.0023709123836819193,0.001901406212531744,0.22683054452091903,-0.0011404727820508056,0.5565221309936543,0.00011452582675713083,0.31158576523001846,0.11611413247988067,24,0.013834313907453233,0.011665365769323909,0.46457766983917625,0.4191678224112868
Non-neuronal,L4,L4 IT,0.0009444177178975912,0.0007591756881427073,0.22788130032131584,0.0001556078422885361,0.8401311834733868,3.4209218705863374e-05,0.44644333897133137,0.11702084236953059,24,0.0026552911999997582,0.003701392145265267,0.7881981045369203,0.619333218357568
Neuronal,L5,Pvalb,0.001718640837059812,0.0013949363052782819,0.23221702848019482,-0.0014470117672656423,0.31334644633066594,2.462295921461e-05,0.7640856309656855,0.11327468673747998,24,0.0226173361645131,0.024279248228530666,0.46457766983917625,0.48527146652978587
Neuronal,L2/3,Microglia-PVM,-0.006174328433439886,0.0051178460558808925,0.24172879906663847,0.0029029916385225445,0.5779799958513618,-0.0007731818485235725,0.016981944839828848,0.31733757576486166,24,0.03752309686414986,0.0295855661400824,0.46457766983917625,0.5559762378532684
Neuronal,L6,L5 IT,-0.006692193738029475,0.005552600545914103,0.24217950710964437,-0.0020544895309578884,0.7160644344400484,0.0007062766831325338,0.04035088942073792,0.22042893281578013,24,0.057089846457015765,0.052058056122996854,0.46457766983917625,0.4191678224112868
Neuronal,L5,L6 IT,0.010862305303681834,0.00902163917833098,0.24263573326489293,-0.007734436011256196,0.40278285364669275,0.00022912084402794885,0.6662672367855099,0.1035949160900651,24,0.06298126457655483,0.07379322026814446,0.46457766983917625,0.48527146652978587
Neuronal,L6,Microglia-PVM,-0.00749185664545365,0.006248050888775375,0.24451456307325065,0.0033435071629587584,0.5995275978250264,-0.0009230872630541049,0.01922321339977581,0.3091231555652474,24,0.0447146039695669,0.03510749995217284,0.46457766983917625,0.4191678224112868
Non-neuronal,L6,L2/3 IT,-0.00017119643606431812,0.0001430055455063166,0.24525270286060682,3.0185524153984454e-05,0.8354379281031193,1.5171884320222533e-06,0.8567478965373247,0.06771604296688838,24,0.0002869661819731334,0.00012221978158869165,0.7881981045369203,0.887250358911531
Non-neuronal,L5,L6b,-0.00026314064230152287,0.00022077238174568177,0.24724849072062213,-1.8670203146432804e-05,0.933640682430833,1.1679720108268165e-05,0.3727092190345741,0.09052491187637368,24,0.0007266026547440167,0.0004921955696610668,0.7881981045369203,0.8211810334303553
Non-neuronal,L6,Pax6,0.0007741439466348939,0.000657237214595837,0.2526722141581407,-0.0004653445295715751,0.4883592281392478,-3.177810839511091e-05,0.41447526404183477,0.10677634109714007,24,0.002121227317185658,0.0027741813252516,0.7881981045369203,0.887250358911531
Non-neuronal,L4,L6b,0.00041575633150949274,0.0003637953934549657,0.266605793889733,8.226492071106349e-05,0.8239045133388162,-3.730182790703004e-05,0.09243591901837434,0.16483994384486433,24,0.0005095990098348417,0.000835474677698025,0.7881981045369203,0.619333218357568
Non-neuronal,L2/3,L4 IT,0.0007658827315955898,0.000673518968135431,0.26892241835034253,-0.0005776389181830179,0.4026089589908901,1.0905029628028388e-05,0.783057051004369,0.09166800503727157,24,0.0002126998648149833,0.0009587263967306749,0.7881981045369203,0.5852512605274297
Non-neuronal,L2/3,L6 CT,-7.63857868420367e-05,6.915118508393355e-05,0.2824368512529432,7.726275146668912e-05,0.2784783060499229,1.0158177374148585e-06,0.8027037096321779,0.10635493125269391,24,6.731287022078334e-05,0.0,0.7881981045369203,0.5852512605274297
Neuronal,L2/3,Lamp5,0.0006473941615117863,0.0005963913325136885,0.2906033739565853,-0.0005085176282475495,0.40530128813279787,2.0826298469701327e-05,0.5540113424728939,0.0998378772805315,24,0.007770724477287501,0.008429751703810084,0.5413200103112864,0.6076252364546784
Non-neuronal,L4,L5 ET,0.00014183376563060583,0.00013917196119604775,0.320313642793025,0.00016437377900187968,0.25277238015064374,6.926975615954393e-07,0.9324879285443974,0.12127724157007924,24,6.661337596589166e-05,0.00022394135218972502,0.7881981045369203,0.619333218357568
