compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L4,Astro_2,-0.021765564356588163,0.011353813514022567,0.06963259604368432,-0.009755927369560352,0.40173593173052524,0.0007758498254118685,0.2527026383696586,0.20799299681388306,24,0.06445282923784405,0.04388630814769399,0.4010566973248853,0.39050257371107255
Neuronal,L5,L6b_4,9.651402468794607e-05,5.080256351562166e-05,0.07197788913133439,-8.563681132024565e-05,0.1083668784872233,-6.438016368286199e-07,0.8293117435635649,0.2333682545629563,24,1.0657799377583334e-05,9.836583087733334e-05,0.4010566973248853,0.4508002886596962
Neuronal,L2/3,Pvalb_5,-0.0012909698501577366,0.0006803850708271748,0.07230649661117874,-4.875576129998219e-05,0.943750198942853,-0.00010203235056789481,0.01770087543152746,0.37999030277520074,24,0.0068310889918557745,0.005271452265783633,0.4010566973248853,0.3747927117099693
Neuronal,L2/3,Sncg_3,0.0008637840468787774,0.000457009740169437,0.07332900881282009,-0.0008424483929714646,0.08096620103532386,9.512393415891261e-06,0.7235369404686651,0.2504464957218585,24,0.003470445316196258,0.004288694137252624,0.4010566973248853,0.3747927117099693
Neuronal,L4,Endo_1,0.016444196541577118,0.008704599125144106,0.07346088020307305,-0.006721744974771224,0.45033420308237027,0.00024204293345198382,0.6369466900131011,0.18137723133733274,24,0.13129563595440766,0.1478073850888393,0.4010566973248853,0.39050257371107255
Non-neuronal,L6,L2/3 IT_12,0.00019733258480254261,0.00010470846437393719,0.0741025145676963,-1.4234158302584216e-05,0.8935382637453959,-4.655321688738e-06,0.45244419587065343,0.16033969068231413,24,0.00013413361254003333,0.00031820721657123337,0.37434821285446823,0.4222109883138842
Neuronal,L5,L2/3 IT_7,0.0014076517603454856,0.0007528188001884046,0.07621721647785847,-0.0003808374515784363,0.6194937121963489,2.5775958746433484e-05,0.5617022650604306,0.17707981626720604,24,0.0023048088238002413,0.0037475697828632747,0.4105567394273976,0.4508002886596962
Non-neuronal,L4,Oligo_3,0.003014859063045893,0.0016240535424189642,0.07819344920946675,-0.0022661270673680193,0.1794310391189431,-1.820808737288197e-05,0.8487193320654272,0.20287682530989548,24,0.0003223274672138,0.0031011229680586836,0.37434821285446823,0.3258060383727781
Non-neuronal,L6,Vip_21,0.0025543264915881716,0.0013794656200589682,0.07889402088438159,-0.0012907660734486476,0.3619704619493834,-4.6640473836635606e-05,0.566570535217112,0.1770082542586282,24,0.005834980467459808,0.008160788824110917,0.37434821285446823,0.4222109883138842
Non-neuronal,L2/3,Pvalb_8,0.0024095351953190556,0.001301351375160003,0.07891113516746082,-0.001509597154143794,0.261056869064565,5.926591990929705e-05,0.44167899198278526,0.21082025837023188,24,0.006073480284966183,0.008510912003071367,0.37434821285446823,0.3393178812200815
Neuronal,L6,L5 ET_2,-0.002478033164885018,0.0013409823680882182,0.07945749780609906,-0.0004019479151912515,0.7681285707009653,9.43134216940019e-05,0.23955060019072155,0.181093726347464,24,0.009609976721379783,0.007343034037155276,0.41461095324129255,0.38551508622302827
Neuronal,L4,Vip_4,-0.0002661342254142954,0.00014426811293451582,0.07994114772996044,8.397010146302721e-05,0.5681708081133853,-5.734372782309902e-06,0.5011480882896857,0.18086761130624363,24,0.000578528276628025,0.00030452041958685833,0.41461095324129255,0.4012008441649628
Neuronal,L5,Astro_2,-0.019238580615283225,0.010433014329157303,0.08004864938817034,-0.005315366589483833,0.6170235476543127,0.0004919127803583881,0.42597679840128333,0.16729194867490227,24,0.053643637306520636,0.03523780328584319,0.41461095324129255,0.4508002886596962
Non-neuronal,L5,Oligo_3,0.004545622582835992,0.002472579431816922,0.08090062524456751,-0.0029440116872293184,0.2490698877996656,-3.922040862247979e-05,0.7873499913846242,0.18574221698261217,24,0.0005649054653364666,0.004763482147875717,0.37434821285446823,0.3547181260723345
Neuronal,L2/3,L2/3 IT_7,0.024216159887575334,0.013208245226144829,0.08166859101521336,0.019907215804329928,0.14852733123131256,-0.0006722664590159462,0.3907587511171038,0.23515021475405384,24,0.1706992842588951,0.19483096777978326,0.41764697177400245,0.39544791438945415
Non-neuronal,L6,Oligo_3,0.007717623425576298,0.004211897314265355,0.08183426048446515,-0.0027288999773184583,0.5256217546726238,-0.00012184336888116336,0.6234951128212112,0.15777191761638265,24,0.001451718885810325,0.008625953509978267,0.37434821285446823,0.4222109883138842
Neuronal,L5,Vip_13,-4.5230489111585285e-05,2.491490595482531e-05,0.08448787121907556,3.272583757532323e-05,0.2051595131011317,6.330284469181759e-07,0.6661344047339903,0.19558280027731578,24,4.0861682207967174e-05,0.0,0.4266637496563315,0.45201011102205424
Neuronal,L6,L5/6 NP_2,-0.00015447938629584458,8.546621205315689e-05,0.0857520725995191,5.247294547391486e-05,0.5473290975994488,-1.2800735369797016e-07,0.9796605910051202,0.15109725130906504,24,0.00018114374486025834,3.070513828331667e-05,0.42666868180831885,0.38551508622302827
Neuronal,L6,VLMC_1,0.011828366473843563,0.006563159330532129,0.0866010690799063,-0.005777526626969399,0.3905212335915198,0.00016210686007054505,0.6748585685686219,0.1724445120244974,24,0.012495148638772305,0.024262451684151365,0.42666868180831885,0.38551508622302827
Non-neuronal,L2/3,VLMC_1,0.01324371127539015,0.0073748177323793565,0.08765080701235783,-0.006999478333607843,0.35527904644863517,0.0003066591521425146,0.48184349246311975,0.18920587177369674,24,0.030451499817776936,0.043907190633256016,0.3926025730761861,0.3426349728664897
