stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr_global,scz_pval_fdr_stratum
L6,Sncg_8,9.980418840111229e-06,1.0776142052953359e-05,0.3654052410948001,1.0994795183695676e-05,0.3211613114202613,-1.8959795114814964e-07,0.7648289502204848,0.0917451575299687,24,0.6075233479990783,0.5614373300451465
L6,Lamp5_4,1.9960837680222458e-05,2.1552284105906718e-05,0.3654052410948001,2.1989590367391352e-05,0.3211613114202613,-3.791959022962993e-07,0.7648289502204848,0.0917451575299687,24,0.6075233479990783,0.5614373300451465
L6,Sst_22,9.980418840111229e-06,1.0776142052953359e-05,0.3654052410948001,1.0994795183695676e-05,0.3211613114202613,-1.8959795114814964e-07,0.7648289502204848,0.0917451575299687,24,0.6075233479990783,0.5614373300451465
L5,L5 IT_5,7.508972016241357e-06,8.177922217183326e-06,0.36945515978443766,-9.534566224975727e-06,0.2587284852037322,5.486380532823602e-07,0.2611766783834867,0.14474582552498383,24,0.6117698799669434,0.6727954899894707
L6,Micro-PVM_2,-0.004604769053307402,0.005039040016853164,0.37169776936551757,0.0018215661927149535,0.7223040681447273,-0.0008304728257162205,0.010105451868136548,0.32964492394750877,24,0.6130015631874867,0.5614373300451465
L2/3,Vip_11,-1.1191235205367435e-05,1.236835254573977e-05,0.3763275126225615,-2.5254890486300806e-06,0.8407306732310679,6.12975046999283e-07,0.40310351591919635,0.06471600213281037,24,0.6131585260039117,0.6294932938413755
L6,Vip_4,2.4174902862182887e-05,2.6730379238857033e-05,0.37655002394540127,1.3999455981756449e-05,0.6072728449981467,8.830861825963538e-07,0.5754113346477469,0.08203505794366106,24,0.6131585260039117,0.5614373300451465
L5,Pvalb_15,-0.0005518245267326205,0.0006114779126317854,0.37756177269647284,6.971614509575143e-05,0.9106264183322572,-1.7537974335385964e-05,0.6264459823727241,0.056938493944671764,24,0.6131585260039117,0.6727954899894707
L6,Pvalb_2,-0.00016218820510146789,0.00017980867098505807,0.37778960526402383,4.707152259233983e-05,0.7967469542636125,-4.3555286252015765e-07,0.9671113314126463,0.04192371480648638,24,0.6131585260039117,0.5614373300451465
L5,Vip_11,7.442434223621498e-06,8.40813389727102e-06,0.38659577697911574,-1.0602031541146484e-05,0.22315558043482692,7.952516573132575e-07,0.11870888414128768,0.19458940359333754,24,0.6183874722003263,0.6727954899894707
L4,Lamp5_1,1.2261559435071634e-05,1.3852568987739346e-05,0.38659577697911585,-1.7467059293809223e-05,0.22315558043482714,1.3101930321449135e-06,0.11870888414128768,0.19458940359333765,24,0.6183874722003263,0.5974662007859063
