stratum,celltype,merfish_mean,merfish_std,merfish_n_donors,xenium_mean,xenium_std,xenium_n_donors,diff,abs_diff,log2_ratio,abs_log2_ratio
L5,L5/6 NP,0.01636362083754739,0.011051626321596978,27,0.013046206024632983,0.004318201857666766,12,-0.003317414812914409,0.003317414812914409,-0.32663766439897735,0.32663766439897735
L5,L6 CT,0.002073232272911594,0.004525255857919177,27,0.001325151860625897,0.0007564739394745333,12,-0.0007480804122856968,0.0007480804122856968,-0.6418198597896003,0.6418198597896003
L5,L6 IT,0.016001614349190004,0.013749958764443229,27,0.000763987669679144,0.0003530467123500562,12,-0.01523762667951086,0.01523762667951086,-4.370664379601973,4.370664379601973
L5,L6 IT Car3,0.0208064290499797,0.01727685297395954,27,0.0013454792999025196,0.0005781498067007137,12,-0.01946094975007718,0.01946094975007718,-3.940847616589185,3.940847616589185
L5,L6b,0.006543832329085639,0.008338700724765332,27,0.012510422126643396,0.0037438257575836374,12,0.005966589797557756,0.005966589797557756,0.9338725345554157,0.9338725345554157
L5,Lamp5,0.014662157338185202,0.007732318440657608,27,0.008073095236318278,0.0014818619913275657,12,-0.006589062101866924,0.006589062101866924,-0.8601012640609367,0.8601012640609367
L5,Lamp5 Lhx6,0.010541255951724048,0.004230907446153612,27,0.0020526281707165628,0.00037461504772940557,12,-0.008488627781007485,0.008488627781007485,-2.3548590624015238,2.3548590624015238
L5,Microglia-PVM,0.08569007562128708,0.05241189906643051,27,0.06169142124740793,0.01414070300328128,12,-0.02399865437387915,0.02399865437387915,-0.47399275617522746,0.47399275617522746
L5,OPC,0.035976736214512854,0.012897742973155994,27,0.013867343296904125,0.004254796243708727,12,-0.02210939291760873,0.02210939291760873,-1.3747338619689202,1.3747338619689202
L5,Oligodendrocyte,0.11850074690357604,0.04893207528763544,27,0.2173364482811486,0.02611302631261468,12,0.09883570137757255,0.09883570137757255,0.8749786274358472,0.8749786274358472
L5,Pax6,0.0006126473640659108,0.0005414603598677544,27,0.0004852965543316015,0.00024255330335105034,12,-0.0001273508097343093,0.0001273508097343093,-0.3301227406295431,0.3301227406295431
L5,Pvalb,0.029137672314872125,0.010196037424215931,27,0.029961244882840465,0.0056572142704958105,12,0.0008235725679683406,0.0008235725679683406,0.04019833196824657,0.04019833196824657
L5,Sncg,0.0011700436549047291,0.0014626690634613841,27,0.00017830506889257122,0.00017488988209690795,12,-0.0009917385860121579,0.0009917385860121579,-2.6476964912931025,2.6476964912931025
L5,Sst,0.026109543291317174,0.01173533542956761,27,0.036206918660913724,0.004662091484468807,12,0.01009737536959655,0.01009737536959655,0.47153413575565867,0.47153413575565867
L5,Sst Chodl,0.0015465990777277785,0.0016593428820920583,27,0.0007093778087552542,0.00030575551254221657,12,-0.0008372212689725242,0.0008372212689725242,-1.1135758461909098,1.1135758461909098
L5,VLMC,0.041154512009520014,0.007699418444888767,27,0.05870378491129157,0.005249277399511729,12,0.017549272901771558,0.017549272901771558,0.5122981376709538,0.5122981376709538
L5,Vip,0.012374251810408247,0.005087591745523976,27,0.023816367479052036,0.0035422993384671207,12,0.011442115668643789,0.011442115668643789,0.9440523064788722,0.9440523064788722
L6,Astrocyte,0.12022550179263096,0.03943956862337252,27,0.11136438468870292,0.02809577159101694,12,-0.008861117103928035,0.008861117103928035,-0.1104454804923441,0.1104454804923441
L6,Chandelier,0.0017911705343362624,0.0012681455464033523,27,0.0026829477851725496,0.0010602198400662265,12,0.0008917772508362871,0.0008917772508362871,0.5802514753350934,0.5802514753350934
L6,Endothelial,0.0438832228557258,0.011653046356722471,27,0.13152772490336162,0.017717311771355534,12,0.08764450204763582,0.08764450204763582,1.5834065135804651,1.5834065135804651
L6,L2/3 IT,0.0043191275402028875,0.0033240142138724325,27,0.005102869304514785,0.0036080124116790917,12,0.0007837417643118978,0.0007837417643118978,0.24005684389478205,0.24005684389478205
L6,L4 IT,0.01665845371963561,0.019035902694993643,27,0.011006155497128458,0.002651253632938552,12,-0.005652298222507153,0.005652298222507153,-0.5974994473151205,0.5974994473151205
