layer,subclass,outcome,n_samples,n_scz,n_ctrl,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,converged,fdr
L5,Sst,proportion,24,12,12,0.05207328828014814,0.05829263053561972,0.16276999502756598,0.11125378222322135,0.05490777467135896,2.026193610815804,0.05701803389519476,True,0.2993446779497725
L5,Sst Chodl,proportion,23,12,11,0.0006017178609228273,0.0006736614742094417,0.1629366146662387,0.24798758854990471,0.2313722570053989,1.0718121168006678,0.29796533988581914,True,0.6801382758263262
L5,VLMC,proportion,24,12,12,0.00662613835640461,0.016065677495315584,1.2777415881611043,0.8349501232070048,0.348980592291009,2.3925402777434512,0.027223972101233763,True,0.20417979075925322
L5,Vip,proportion,24,12,12,0.016227017934698915,0.014458874053655901,-0.16644268722026556,-0.18368665569882814,0.08404514122789374,-2.18557138479606,0.04157156032448219,True,0.2567655196512135
L6,Astrocyte,proportion,24,12,12,0.12651946335303038,0.14081713701161624,0.15446357457716525,0.05706694111948363,0.15799557109614099,0.3611932962649829,0.7219400760753438,True,0.8993333990042615
L6,Chandelier,proportion,24,12,12,0.0065927045834366415,0.007999654183106933,0.27906719891571735,0.18721344274496543,0.1992693384084069,0.9394994947053387,0.35926574311673404,True,0.7117528873067372
L6,Endothelial,proportion,24,12,12,0.03284224758356954,0.06301558475992061,0.9401558118527493,0.5476113750353973,0.5053265943213284,1.0836781226027867,0.29206834151219735,True,0.6801382758263262
L6,L2/3 IT,proportion,22,11,11,0.005084949760357092,0.007164049002233202,0.4945416851895719,0.06548417429249204,0.2790621214494332,0.23465805374219498,0.8172771815652703,True,0.9370384584804093
L6,L4 IT,proportion,24,12,12,0.011778808814005224,0.011128648865457032,-0.08191520237879618,-0.07698652716943277,0.15120251329065637,-0.5091616898023493,0.6165012006447718,True,0.8504309782763663
L6,L5 ET,proportion,23,11,12,0.0022930190625534506,0.0014210843007527454,-0.6902562086720433,-0.3333337455854404,0.39138467889116246,-0.8516780639697318,0.4055817010677869,True,0.7410713531528379
L6,L5 IT,proportion,24,12,12,0.007344323421537682,0.008982788041498201,0.29053370030755943,0.04274445818275652,0.22496306892535764,0.19000655701820576,0.8513192741294041,True,0.9459103045882268
