pool,region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
Neuronal,L2/3,L6b,density,11,7,0.0811838988185113,0.15988820434547363,0.9777979772375104,0.05698456335974147,0.1297086590244165,0.6147062536374521
Neuronal,L2/3,Lamp5,density,12,12,6.61129174805908,5.961603011323034,-0.1492318722979046,-0.0701248957530134,0.5207100799506251,0.8408503513276762
Neuronal,L2/3,Pax6,density,12,12,3.894707742604485,3.2317507667156478,-0.2691991316173549,-0.04261857008296288,0.7176082165232496,0.9083088109846276
Neuronal,L2/3,Pvalb,density,12,12,7.945473317012827,6.167444604022479,-0.36546031211650126,-0.1715133963935358,0.12235637819338899,0.6094769492324698
Neuronal,L2/3,Sncg,density,12,12,2.5059346618743508,2.7512095198344433,0.13471721380214027,0.0982310142114402,0.45846449102763637,0.8125630816587377
Neuronal,L2/3,Sst,density,12,12,12.216114932895552,10.103904194134136,-0.2738726760452384,-0.1213332457513534,0.3952095406785315,0.8125630816587377
Neuronal,L2/3,Sst Chodl,density,12,11,0.3224493956730242,0.32612355321604636,0.01634587313675041,0.016212405190557708,0.7521181652026034,0.9130674739579849
Neuronal,L2/3,Vip,density,12,12,19.338520704728005,16.91633113640385,-0.1930607339967507,-0.044439563083454314,0.7345596670465806,0.9083088109846276
Neuronal,L4,Chandelier,density,12,12,2.8745571162153354,3.9858241250302506,0.47153835572184716,0.2602934946959734,0.10817865858796925,0.6094769492324698
Neuronal,L4,L2/3 IT,density,12,12,10.246587061774521,11.76547553190192,0.1994161757929237,0.11441810044709783,0.44141246055015715,0.8125630816587377
Neuronal,L4,L4 IT,density,12,12,19.38968810592933,24.825361765070664,0.35652514436642824,0.3877250664835755,0.10155038769528621,0.6094769492324698
Neuronal,L4,L5 ET,density,12,12,3.651891099995306,4.281484598356385,0.22946739116111278,0.07217174501709034,0.7251020037874589,0.9083088109846276
Neuronal,L4,L5 IT,density,12,12,16.065904000263735,18.30983579942891,0.18861669224957747,0.12637262276193828,0.4501663691621528,0.8125630816587377
Neuronal,L4,L5/6 NP,density,12,12,0.12877046814542237,0.2642478258168665,1.0370898336335286,0.11236498137272684,0.05524604269123184,0.5537780492848163
Neuronal,L4,L6 CT,density,12,12,0.16162944780410887,0.2872482961728178,0.8296082640589383,0.09689308689728485,0.11104470724021448,0.6094769492324698
Neuronal,L4,L6 IT,density,12,12,1.9917668938731936,2.7794942514049055,0.480773586586901,0.18257847422683524,0.30690465723242194,0.7433912808518665
Neuronal,L4,L6 IT Car3,density,9,6,0.04624136850619397,0.07317821701629297,0.6622301701021464,0.026767472287916042,0.14205614763721092,0.6193648036982395
Neuronal,L4,L6b,density,9,11,0.05277790878467173,0.1110620791207312,1.07336021594156,0.05072799918047433,0.012243628795738357,0.3336388846838702
Neuronal,L4,Lamp5,density,12,12,2.4860808089511712,2.772210866977346,0.15716380828741397,0.07721898188575901,0.5575417618964783,0.862154909003488
Neuronal,L4,Pax6,density,12,12,0.23021797038154154,0.2756542717173633,0.25985950661462576,0.04118214274289545,0.5135862838581121,0.8355358946348391
Neuronal,L4,Pvalb,density,12,12,5.895061899522445,6.214972503208604,0.07624104648369082,0.08143941153933798,0.5783449732443429,0.8686321271084835
Neuronal,L4,Sncg,density,12,12,0.174000060489973,0.3864161392849403,1.1510675442686367,0.16967422369990448,0.0069771231585309046,0.25350214142662286
Neuronal,L4,Sst,density,12,12,5.672696288354807,6.943828316501445,0.29169665280840434,0.26228262422418946,0.09898850006948812,0.6094769492324698
Neuronal,L4,Sst Chodl,density,11,11,0.0942666481827697,0.11089631923658555,0.23439214521413979,0.015369543421286685,0.581744452100177,0.8686321271084835
Neuronal,L4,Vip,density,12,12,4.34875538667852,4.951864944233538,0.1873694065602828,0.0900018853565765,0.5579298034630898,0.862154909003488
Neuronal,L5,Chandelier,density,12,12,2.9518834910175644,3.1645853423174355,0.10038069450739132,0.04558202718598539,0.7539089234515473,0.9130674739579849
Neuronal,L5,L2/3 IT,density,12,12,0.9267091713490502,1.1326010005536122,0.28945115466435867,0.09821174922772061,0.40542429396332774,0.8125630816587377
Neuronal,L5,L4 IT,density,12,12,22.815061794446887,24.59320501780654,0.10827319972268315,0.03131533835892769,0.858929289681781,0.9504902799524276
Neuronal,L5,L5 ET,density,12,12,6.541980306710133,5.819972401212424,-0.16871510471842813,-0.10971352292284955,0.593653099581603,0.8720718851898009
Neuronal,L5,L5 IT,density,12,12,43.88737568668633,46.24614670805465,0.07552715871860091,0.059003616104085665,0.7683923186343407,0.92038200803454
Neuronal,L5,L5/6 NP,density,12,12,6.8111663657727,8.594605495652155,0.3355295484378209,0.25563596145686496,0.16862019169754436,0.6210613014206106
Neuronal,L5,L6 CT,density,12,12,1.3858019449267556,2.2676221239602117,0.7104591638057861,0.33715642526398626,0.020446015944732766,0.4457231475951743
Neuronal,L5,L6 IT,density,12,12,2.3728678907344394,2.9904875407607556,0.3337489261163009,0.147132161617578,0.357511847495015,0.7758564663413161
Neuronal,L5,L6 IT Car3,density,12,12,1.1076004897777267,1.7745879553186235,0.6800464848430849,0.2695257731638837,0.034647574471383225,0.5062131390480432
Neuronal,L5,L6b,density,12,11,0.17863616172032262,0.43901863297654986,1.29725801438077,0.18950584349891028,0.0014484151396929887,0.15787725022653576
Neuronal,L5,Lamp5,density,12,12,2.5569435362855066,2.576788342016854,0.01115373615085476,-0.059745551665654206,0.730348920143114,0.9083088109846276
Neuronal,L5,Pax6,density,12,12,0.1969639778289974,0.16883409478552314,-0.2223255285281376,-0.03167112948045561,0.47810090716786613,0.8271904584332922
Neuronal,L5,Pvalb,density,12,12,11.01388956847436,9.919102448217652,-0.15104256219265544,-0.09099924488514319,0.6585101351788087,0.9081460845880348
Neuronal,L5,Sncg,density,12,12,0.1437843581141828,0.38774783093624543,1.4312119731600086,0.1913579802192763,0.002474509522528469,0.17981435863706874
Neuronal,L5,Sst,density,12,12,12.529016478297061,14.916366516161348,0.2516229834662312,0.17049864773925782,0.27474757862918586,0.7229332496948486
Neuronal,L5,Sst Chodl,density,11,12,0.13529231718020254,0.17489293083748803,0.3703920612009287,0.04007987518141712,0.20609559338961667,0.6912129132144067
Neuronal,L5,Vip,density,12,12,3.6592322632050807,3.8041441749050673,0.05603093349425305,-0.04600289331520094,0.7665867207210795,0.92038200803454
Neuronal,L6,Chandelier,density,12,12,2.0103339674838483,2.6658718678579745,0.4071722510055233,0.19278037360704775,0.2810308406501625,0.7229332496948486
Neuronal,L6,L2/3 IT,density,12,12,1.713498967850178,2.279243044175103,0.41160944992172876,0.2680793104206042,0.17644070816846072,0.6305585964053186
Neuronal,L6,L4 IT,density,12,12,4.079855763954039,4.272783362022094,0.06665802239986389,0.08136711927233525,0.6865268329275586,0.9081460845880348
Neuronal,L6,L5 ET,density,12,11,0.578760167898222,0.4063203173288912,-0.5103481286724597,-0.1103124883140399,0.326863733516923,0.7499256078056952
Neuronal,L6,L5 IT,density,12,12,2.7092288702372707,3.4086656770176353,0.33132483176118904,0.08026136577244493,0.7374800896526563,0.9083088109846276
Neuronal,L6,L5/6 NP,density,12,12,3.631156405637713,3.3498290022049617,-0.11634162041777929,-0.040444049590862785,0.8513830112902743,0.9469464105167336
Neuronal,L6,L6 CT,density,12,12,19.353797978139884,19.33918614842627,-0.001089624682307862,0.036571584709277793,0.8875882502574142,0.9522299397168049
