pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,fdr
Neuronal,L6 IT Car3,0.625,12,12,0.011844591900554447,0.015309647416591436,0.37021256563971827,0.3366029895807737,0.1681254445083781,2.002094272910606,0.05975840772525478,0.4142905371945691
Neuronal,L6 IT Car3,0.7083333333333333,12,12,0.08656797336089687,0.09810322944656064,0.1804672440970881,0.17560191846165446,0.11181225298555753,1.5705069325840029,0.13280154354778276,0.5456228974679684
Neuronal,L6 IT Car3,0.7916666666666666,12,12,0.13746020074250884,0.13725287106524245,-0.002177643401123657,-0.02616949877824365,0.07263789859063256,-0.36027334609069334,0.7226167036812272,0.9161259185409056
Neuronal,L6 IT Car3,0.875,12,12,0.04900797241029734,0.04561573515488567,-0.10348489174452175,-0.09877154024461099,0.14586345728984057,-0.677150686537926,0.5064722134945581,0.7927391167740909
Neuronal,L6 IT Car3,0.9583333333333333,11,12,0.0036767930163764937,0.002997046516259661,-0.294906487212498,-0.3328779798500865,1.7975037750612481,-0.18518902962456588,0.8551514734340115,0.9401303223657606
Neuronal,L6b,0.041666666666666664,12,11,0.0,0.0,,1.1102230246251565e-15,3.379029047939581e-15,0.32856273470100333,0.7462778052916658,0.9161259185409056
Neuronal,L6b,0.125,12,12,6.13195977434388e-05,5.3384582532564594e-05,-0.1999250812105174,-0.14295630487533195,0.810052857246136,-0.1764777490710022,0.8617861288352805,0.9401303223657606
Neuronal,L6b,0.20833333333333331,12,12,0.00011959483881238142,0.0001633198516668447,0.4495450318649112,-0.2488505786387596,1.1598712342220994,-0.2145501770337966,0.8324039618374813,0.9401303223657606
Neuronal,L6b,0.29166666666666663,12,12,0.0007104310342431307,0.0012208935401267264,0.7811708948087945,-0.7345418589395765,1.5797315642945393,-0.4649789087854308,0.647231268885952,0.8875338580173058
Neuronal,L6b,0.375,12,12,0.001091379049786469,0.0018583606034866702,0.7678782200354354,-1.5476731158351882,1.3792630811903348,-1.1221014590628438,0.2758002339776234,0.6631366851777297
Neuronal,L6b,0.4583333333333333,12,12,0.0010247180070451407,0.0017756000912157765,0.793079739924933,2.6514033859638007,1.4290327579237077,1.8553832102604273,0.0791238970708104,0.416847847982806
Neuronal,L6b,0.5416666666666666,12,12,0.0008816055470288529,0.001550184069949727,0.81423432586441,0.6999727115375742,0.9112034330076132,0.768184892836906,0.45182006187938006,0.7505057136003238
Neuronal,L6b,0.625,12,12,0.0030091802534305302,0.004962761747466857,0.7217726669297275,0.6006776151220143,0.269426088594891,2.2294708662203573,0.03804599731056212,0.3735425190491554
Neuronal,L6b,0.7083333333333333,12,12,0.023310195200116308,0.04433944526879997,0.9276296350682854,0.8919891417148733,0.16265627960031884,5.4838899789585795,2.729329980681533e-05,0.005895352758272112
Neuronal,L6b,0.7916666666666666,12,12,0.09057872034944196,0.10612018989664475,0.22845509933500438,0.1755887399754117,0.12772496336829625,1.3747409695401496,0.185209205457419,0.5821622340017688
Neuronal,L6b,0.875,12,12,0.18471017159432282,0.19311074069780132,0.0641650936699281,0.05066826111655298,0.11945361983880264,0.4241668120641932,0.6762079971136669,0.9128807961034503
Neuronal,L6b,0.9583333333333333,11,12,0.3416626623816726,0.3082652564218093,-0.14840029849188424,-0.19987140163628647,0.21832180497907233,-0.9154898735627691,0.3720368962221321,0.7357418518172038
Neuronal,Lamp5,0.041666666666666664,12,11,0.4099212152146379,0.4014027227449292,-0.03029625503628817,-0.04815195731642031,0.07009455300667695,-0.6869571921206706,0.5008651611340289,0.7896852175543813
Neuronal,Lamp5,0.125,12,12,0.09716859661089627,0.07605306105411029,-0.35348381636581866,-0.2952439759928088,0.10000716264588398,-2.95222830226911,0.008181564798306161,0.2973839990281474
