region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
Vascular,Sncg,proportion,12,11,0.0013073077390258834,0.0014628256340685,0.16215902313785882,0.38266987875374353,0.2191713668462176,0.7437050875006485
Vascular,Sst,proportion,12,11,0.0027005782066593254,0.002847099024375154,0.07622434380803612,0.14295358618198395,0.7179071893492177,0.9016555068705658
Vascular,VLMC,proportion,12,11,0.320050686689927,0.47454184497571833,0.5682349053222874,0.6833521881912525,0.08135695571085502,0.637147843060245
Vascular,Vip,proportion,12,11,0.002421573843215525,0.0024033083583744363,-0.010923230530652334,-0.00927996852416435,0.9772883485562653,0.9870939172708767
L1,Astrocyte,density_per_mm2,12,12,53.87696554503649,77.92980718900172,0.5325066491722618,0.21397204321691182,0.36767752706904955,0.8286463669765147
L1,Endothelial,density_per_mm2,12,12,17.716743473209352,22.628416896413796,0.35302221044948895,0.18534908727134886,0.3752823019022812,0.8340505735396941
L1,L2/3 IT,density_per_mm2,12,12,0.6645499924970234,1.093169665688515,0.7180676930818674,0.2488061394653967,0.14557351381177783,0.637147843060245
L1,L4 IT,density_per_mm2,4,3,0.06208524560871585,0.08742333295856071,0.49376792440597944,0.05714599197820738,0.707298479957833,0.9016555068705658
L1,Lamp5,density_per_mm2,12,12,7.022563381072864,8.254824051134142,0.23323972466076232,0.13891864469610643,0.40665291266539955,0.8340505735396941
L1,Microglia-PVM,density_per_mm2,12,12,14.007265289358813,19.51034593581588,0.47806403997470487,0.24871473698815963,0.25629496201992213,0.7650860729300396
