celltype,level,subclass,panel,topN,n_in_panel,genes_in_panel
L6 IT,subclass,L6 IT,Xenium_5K,20,5,SLIT3; MYO1D; PTK2; THEMIS; FRMD6
L6 IT,subclass,L6 IT,Xenium_5K,50,11,SLIT3; MYO1D; PTK2; THEMIS; FRMD6; DMD; SATB2; SMAD3; DPYD; SNTB2; ANO3
L6 IT Car3,subclass,L6 IT Car3,Xenium_v1,10,1,NTNG2
L6 IT Car3,subclass,L6 IT Car3,Xenium_v1,20,2,NTNG2; NWD2
L6 IT Car3,subclass,L6 IT Car3,Xenium_v1,50,5,NTNG2; NWD2; THEMIS; RIT2; NR4A2
L6 IT Car3,subclass,L6 IT Car3,MERFISH_180,10,3,KCNIP4; NTNG2; SATB2
L6 IT Car3,subclass,L6 IT Car3,MERFISH_180,20,5,KCNIP4; NTNG2; SATB2; RGS12; TMEM132D
L6 IT Car3,subclass,L6 IT Car3,MERFISH_180,50,12,KCNIP4; NTNG2; SATB2; RGS12; TMEM132D; ITGB8; CLSTN2; CA10; CACHD1; HPSE2; SEMA6D; THEMIS
L6 IT Car3,subclass,L6 IT Car3,MERSCOPE_250,10,4,SORBS2; KCNIP4; NTNG2; ZNF804B
L6 IT Car3,subclass,L6 IT Car3,MERSCOPE_250,20,8,SORBS2; KCNIP4; NTNG2; ZNF804B; RGS12; TMEM132D; SPOCK1; AK5
L6 IT Car3,subclass,L6 IT Car3,MERSCOPE_250,50,15,SORBS2; KCNIP4; NTNG2; ZNF804B; RGS12; TMEM132D; SPOCK1; AK5; GSG1L; CLSTN2; OLFML2B; CA10; HPSE2; KLHL1; PCDH9
L6 IT Car3,subclass,L6 IT Car3,MERSCOPE_4K,10,5,SORBS2; KCNIP4; NTNG2; KCTD16; ZNF804B
L6 IT Car3,subclass,L6 IT Car3,MERSCOPE_4K,20,11,SORBS2; KCNIP4; NTNG2; KCTD16; ZNF804B; NWD2; RGS12; TMEM132D; CADPS; SPOCK1; AK5
L6 IT Car3,subclass,L6 IT Car3,MERSCOPE_4K,50,30,SORBS2; KCNIP4; NTNG2; KCTD16; ZNF804B; NWD2; RGS12; TMEM132D; CADPS; SPOCK1; AK5; TENM4; GSG1L; ITGB8; CLSTN2; CPNE5; OLFML2B; CA10; CACHD1; MAMDC2; HPSE2; KCNIP4-IT1; SEMA6D; GNG2; ARAP2; KLHL1; MMP16; RIMS2; PCDH9; NR4A2
L6 IT Car3,subclass,L6 IT Car3,Xenium_5K,10,2,NTNG2; SATB2
L6 IT Car3,subclass,L6 IT Car3,Xenium_5K,20,4,NTNG2; SATB2; SPOCK1; GNAO1
L6 IT Car3,subclass,L6 IT Car3,Xenium_5K,50,8,NTNG2; SATB2; SPOCK1; GNAO1; CA10; HPSE2; THEMIS; KLHL1
L6b,subclass,L6b,Xenium_v1,10,1,HS3ST4
L6b,subclass,L6b,Xenium_v1,20,1,HS3ST4
