supertype,rank,gene,score,logfoldchange,pval_adj,in_5k,in_v1
L5 ET_2,3,RIT2,26.885262,4.0039716,3.472307040045165e-155,False,True
L5 ET_2,4,VAT1L,26.59692,3.636089,5.875049385282746e-152,False,False
L5 ET_2,5,GRM8,26.465042,3.5453901,1.5623906800710617e-150,False,False
L5 ET_2,6,CHST8,26.38135,5.1994424,1.1922841855365835e-149,True,False
L5 ET_2,7,CABP1,26.291107,2.8310509,1.1043009213900404e-148,False,False
L5 ET_2,8,COL24A1,25.796175,3.8512487,3.902200774695323e-143,False,False
L5 ET_2,9,LINC00326,25.38346,4.5282035,1.3610208625938056e-138,False,False
L5 ET_2,10,TAFA1,25.379087,4.0845146,1.3688643239524495e-138,False,False
L5 IT_1,1,LINC02196,37.71638,6.233412,0.0,False,False
L5 IT_1,2,CTNNA2,35.535137,2.5884075,2.247872684083603e-272,False,False
L5 IT_1,3,IL1RAPL2,35.325737,4.3283005,2.5140923141636112e-269,False,False
L5 IT_1,4,LINC02232,35.27182,4.315873,1.26663568087004e-268,False,False
L5 IT_1,5,TOX,35.123505,4.00715,1.882341191359817e-266,True,False
L5 IT_1,6,CASC15,34.765774,3.76293,4.25584489344892e-261,False,False
L5 IT_1,7,FOXP2,34.36894,3.8968847,3.3458690618019683e-255,True,False
L5 IT_1,8,AC073578.2,34.216213,5.2469,5.53333739169589e-253,False,False
L5 IT_1,9,DCC,34.02929,3.3495665,2.912736184543611e-250,False,False
L5 IT_1,10,RORB,33.84054,4.088474,1.5946863588841467e-247,True,True
L5 IT_2,1,FSTL4,35.852642,3.6900358,5.335133754492676e-277,False,True
L5 IT_2,2,CASC15,35.76799,3.9955168,5.541537400101588e-276,False,False
L5 IT_2,3,PHACTR1,34.871014,2.2969708,2.1743333185028008e-262,False,False
L5 IT_2,4,LRRK1,33.39615,3.2818043,1.2433523298381884e-240,False,True
L5 IT_2,5,RORB,33.209686,3.97935,4.976543137800536e-238,True,True
L5 IT_2,6,AC060765.2,33.073723,4.890112,3.7713023245128425e-236,False,False
L5 IT_2,7,AC016687.2,32.774258,6.0902867,6.2436765877556275e-232,False,False
L5 IT_2,8,RXFP1,32.74491,3.3860376,1.4301249822154974e-231,True,True
L5 IT_2,9,IPCEF1,32.737938,3.0126548,1.597639433233523e-231,False,False
L5 IT_2,10,IL1RAPL2,32.294147,3.8176966,2.695571808343032e-225,False,False
L5 IT_3,1,AC099517.1,36.6231,5.7123423,3.9128592137165226e-289,False,False
L5 IT_3,2,TOX,36.135612,4.19977,9.983892346229542e-282,True,False
L5 IT_3,3,PDE4D,36.032047,2.032492,2.8017261899709697e-280,False,False
L5 IT_3,4,CTNNA2,35.724735,2.5983267,1.3021573713427214e-275,False,False
L5 IT_3,5,FOXP2,35.174744,4.0377107,3.1038349470678314e-267,True,False
L5 IT_3,6,DACH1,34.999546,3.8371842,1.2150111840522246e-264,True,False
L5 IT_3,7,RXFP1,34.991905,3.7221088,1.3611364508007876e-264,True,True
L5 IT_3,8,OPCML,33.61654,1.6307198,3.8341264065663464e-244,False,False
L5 IT_3,9,LRP1B,33.488365,2.0309074,2.522676624138216e-242,False,False
L5 IT_3,10,CPNE4,33.426754,3.432668,1.786967384820836e-241,False,False
L5 IT_5,1,AC109466.1,35.46929,5.0608664,4.665273831719428e-271,False,False
L5 IT_5,2,PHACTR1,35.117744,2.2834373,5.762335911842885e-266,False,False
L5 IT_5,3,AC008415.1,35.077812,4.655006,1.5620789679830104e-265,False,False
L5 IT_5,4,TAFA1,34.49366,4.053774,7.961008853011703e-257,False,False
L5 IT_5,5,AC060765.2,34.38414,4.7975483,2.776464245093469e-255,False,False
L5 IT_5,6,CASC15,34.326706,3.8159814,1.6670613381788123e-254,False,False
L5 IT_5,7,AC073091.3,34.265648,4.2410717,1.1619893155403905e-253,False,False
L5 IT_5,8,IL1RAPL2,33.29565,3.9594483,1.7793276120770888e-239,False,False
L5 IT_5,9,LRRK1,33.19154,3.121309,5.0531201142227956e-238,False,True
L5 IT_5,10,KCNH7,33.127193,2.308075,3.8487876695540515e-237,False,False
L5 IT_6,1,TAFA1,35.71139,4.220823,8.391927654844161e-275,False,False
L5 IT_6,2,PHACTR1,35.321243,2.2976198,4.4199882334792474e-269,False,False
L5 IT_6,3,AC109466.1,34.98803,4.9335947,3.6373887259964753e-264,False,False
L5 IT_6,4,ARL15,34.927288,2.0461113,2.2845718808340197e-263,False,False
L5 IT_6,5,AC008415.1,34.843674,4.5685225,3.3860739340478546e-262,False,False
L5 IT_6,6,CADPS2,34.054363,3.575008,1.8593973026021698e-250,False,False
L5 IT_6,7,TRABD2A,33.849834,4.283621,1.662738044305616e-247,False,False
L5 IT_6,8,AC021134.1,33.72976,4.77525,8.441912299437468e-246,False,False
L5 IT_6,9,AL445207.1,33.49269,5.3956666,2.1821494489200338e-242,False,False
L5 IT_6,10,LRRK1,33.33925,3.1228106,3.326001048884863e-240,False,True
L5 IT_7,1,PHACTR1,35.94301,2.394266,2.075850863045433e-278,False,False
L5 IT_7,2,HS3ST2,33.399406,3.386956,2.229971002560073e-240,True,True
L5 IT_7,3,CPNE4,33.364437,3.473072,4.782285325770184e-240,False,False
L5 IT_7,4,CTNNA2,32.71385,2.254539,7.913518881917031e-231,False,False
L5 IT_7,5,SORCS1,32.594635,3.1600308,3.1166156025697545e-229,True,True
L5 IT_7,6,RYR2,32.12983,1.8698193,8.982614396155813e-223,False,False
L5 IT_7,7,CLSTN2,32.123028,3.1200547,9.582456359473547e-223,False,False
L5 IT_7,8,AC109466.1,31.906664,4.1770844,8.603965185663274e-220,False,False
L5 IT_7,9,PRUNE2,31.878735,2.334931,1.865369212329346e-219,False,False
L5 IT_7,10,AC008415.1,31.86018,3.816036,3.034355457509993e-219,False,False
L5/6 NP_1,1,IFNG-AS1,37.71236,7.0663714,0.0,False,False
L5/6 NP_1,2,AC068587.4,37.48786,3.722791,2.3160362934613694e-303,False,False
L5/6 NP_1,3,HTR2C,37.280025,6.300208,3.676514941623602e-300,True,True
L5/6 NP_1,4,NPSR1-AS1,36.75371,6.0695624,8.087219675524833e-292,False,False
L5/6 NP_1,5,TRMT9B,36.56527,2.9683676,6.505675515312716e-289,False,False
L5/6 NP_1,6,TSHZ2,36.256104,4.8762827,4.23287265769422e-284,False,True
L5/6 NP_1,7,CRYM,36.12424,3.7762976,4.30277988794381e-282,False,True
L5/6 NP_1,8,SORCS2,35.84779,3.704416,7.937049062872635e-278,True,False
L5/6 NP_1,9,CDH6,35.61923,4.028287,2.5019876008226573e-274,True,True
L5/6 NP_1,10,DIRAS2,35.53685,3.4463587,4.230527885867534e-273,False,False
L5/6 NP_2,1,AC068587.4,37.69494,3.836889,0.0,False,False
L5/6 NP_2,2,HTR2C,36.90188,6.109717,6.874730201995565e-294,True,True
L5/6 NP_2,3,NPSR1-AS1,36.15985,6.0016017,2.7694163001389027e-282,False,False
L5/6 NP_2,4,ASIC2,35.915073,2.953787,1.4169445762159665e-278,False,False
L5/6 NP_2,5,TSHZ2,35.88185,4.7769547,3.269781024979307e-278,False,True
L5/6 NP_2,6,CRYM,35.880512,3.832955,3.269781024979307e-278,False,True
L5/6 NP_2,7,SORCS2,35.653835,3.6923275,9.36235183146442e-275,True,False
L5/6 NP_2,8,FER1L6-AS2,35.02209,4.8297944,4.135779867196019e-265,False,False
L5/6 NP_2,9,TLL1,34.90572,4.143465,2.1572829738566332e-263,False,False
L5/6 NP_2,10,TRMT9B,34.608727,2.66365,5.956076015827392e-259,False,False
L5/6 NP_3,1,AC068587.4,18.24804,3.7944796,6.840005134919111e-70,False,False
L5/6 NP_3,2,HTR2C,17.974453,6.093859,4.9257599189344614e-68,True,True
L5/6 NP_3,3,COL24A1,17.87125,4.1964073,2.099810836892916e-67,False,False
L5/6 NP_3,4,TSHZ2,17.78115,4.9142413,7.887793601550089e-67,False,True
L5/6 NP_3,5,GHR,17.669498,3.3968344,4.5948226919112203e-66,True,False
