supertype,subclass,top5_in_panel,top5_genes,top10_in_panel,top10_genes,top20_in_panel,top20_genes,median_depth_merfish,median_depth_xenium,n_cells_xenium,depth_range_subclass,min_separation,layer_distinct,crumblr_logFC,crumblr_fdr,density_logFC,density_fdr,confidence
L5 IT_2,L5 IT,0,,2,FSTL4; PTPRZ1,6,FSTL4; PTPRZ1; SORCS1; BRINP3; HS3ST4; COL12A1,0.6151413888295247,0.5924799360840314,6876.0,0.10588196586141585,0.016560510650819316,False,0.132136476802176,0.52485058492975,0.2521247264540699,0.4905817487010693,MEDIUM
Lamp5_3,Lamp5,2,POU6F2; KCNH5,2,POU6F2; KCNH5,2,POU6F2; KCNH5,0.3645636513619242,0.2371948697362073,1806.0,0.3854888231913217,0.04698541326189348,False,-0.126632245383925,0.541706380006157,-0.0633015773618249,0.8188409257846216,MEDIUM
Sncg_3,Sncg,0,,0,,0,,0.1945520743729462,0.1323250123250063,114.0,0.11442495530025559,0.0339433380957275,False,0.180527782701198,0.571160830125339,0.313369083256383,0.5065702542115506,LOW
Pvalb_2,Pvalb,1,SDK1,3,SDK1; CUX2; TMEM132C,5,SDK1; CUX2; TMEM132C; CEMIP; NWD2,0.3922709387782085,0.3498369188036516,2731.0,0.5611991434268891,0.07256529395235478,False,-0.109919555511973,0.57520943965041,0.0373401701796266,0.9694148485910544,HIGH
Pvalb_7,Pvalb,0,,0,,0,,0.7769942610665402,0.831796623572655,55.0,0.5611991434268891,0.014658902610333535,False,-0.235654524035066,0.604193837789291,0.180370018183861,0.9681330034389756,LOW
L2/3 IT_6,L2/3 IT,0,,0,,1,SLIT3,0.1983754382820678,0.1975592694439211,16020.0,0.2646337545583066,0.007096062578636292,False,-0.102046885331411,0.604193837789291,-0.0235128181243114,0.8252159283291751,LOW
Sst_19,Sst,1,RELN,1,RELN,2,RELN; TENM1,0.5430210600339906,0.5539956862413309,3648.0,0.6219978107039386,0.056544927645603926,False,-0.110203095475138,0.604193837789291,-0.005282772288343,0.9681330034389756,LOW
Sst_1,Sst,0,,0,,0,,0.7275974633186215,0.7812170894259887,389.0,0.6219978107039386,0.0013699373221528477,False,0.129739006252749,0.604193837789291,0.3699698611707336,0.280937600869409,LOW
Pvalb_1,Pvalb,0,,0,,3,SLIT3; PLCE1; MEPE,0.663345389733672,0.5894598715086462,295.0,0.5611991434268891,0.04953758732459479,False,0.205704174938115,0.608048454833448,0.2476125488768437,0.8252159283291751,LOW
L6b_3,L6b,0,,1,NPNT,2,NPNT; TSHZ2,0.7557092274687613,0.8411010974486485,481.0,0.09709823755042613,0.020370613584219877,False,0.233473227722629,0.609104131079213,0.1388347268736803,0.82791167846339,LOW
Sncg_2,Sncg,1,THSD7B,1,THSD7B,2,THSD7B; RELN,0.1094433863569482,0.1106890942900277,499.0,0.11442495530025559,0.0021753130773608936,False,0.153792479624658,0.609104131079213,0.250839727895297,0.6012314593874274,LOW
Oligo_1,Oligodendrocyte,0,,0,,0,,0.6775974814502745,0.6350562032482177,5271.0,0.04868738075866763,0.020497197113980126,False,0.143163472694732,0.609104131079213,0.3067916346858467,0.9913997351625962,LOW
