supertype,rank,gene,score,logfoldchange,pval_adj
L5 IT_1,5,RXFP1,33.142445,3.4017076,6.988661912851535e-238
L5 IT_1,6,KCNH5,32.352203,2.9542232,1.0338517372565117e-226
L5 IT_1,7,HS3ST2,31.868422,3.2525535,5.018272117940373e-220
L5 IT_1,8,COBLL1,31.58119,3.4567,4.017311057065252e-216
L5 IT_1,9,GABRB3,30.754946,1.48495,5.602648646314726e-205
L5 IT_1,10,FOXP1,30.338488,1.7978898,1.7115675290000426e-199
L5 IT_2,1,RORB,33.209686,3.97935,3.746489848511926e-238
L5 IT_2,2,RXFP1,32.74491,3.3860376,8.613125343616238e-232
L5 IT_2,3,SORCS1,30.919027,2.9086044,1.0611715175689699e-206
L5 IT_2,4,HS3ST2,30.340456,3.100289,4.0307114351025253e-199
L5 IT_2,5,EPHA3,30.311321,2.7747624,7.808883523898832e-199
L5 IT_2,6,FOXP2,29.472763,3.0761807,5.1487787224599696e-188
L5 IT_2,7,PPP3CA,28.375137,1.3082585,2.4606226314712596e-174
L5 IT_2,8,MKX,27.908903,3.276592,1.1100344640565784e-168
L5 IT_2,9,CAMK2D,27.803202,1.8011042,1.9054065576707008e-167
L5 IT_2,10,FAT3,25.976591,1.9975479,3.3641593799753636e-146
L5 IT_3,1,TOX,36.135612,4.19977,3.0064685696920486e-282
L5 IT_3,2,FOXP2,35.174744,4.0377107,1.168329681734215e-267
L5 IT_3,3,DACH1,34.999546,3.8371842,3.586464165899859e-265
L5 IT_3,4,RXFP1,34.991905,3.7221088,3.586464165899859e-265
L5 IT_3,5,KCNH5,33.043278,3.044213,1.8659752229054544e-236
L5 IT_3,6,HS3ST2,32.29909,3.2394629,5.765332235649586e-226
L5 IT_3,7,NPFFR2,31.423862,5.000168,6.5543120406787075e-214
L5 IT_3,8,SULF2,30.858786,3.0364685,2.5632974637361663e-206
L5 IT_3,9,PRKD1,30.781717,2.3607674,2.45629314759226e-205
L5 IT_3,10,PART1,30.164454,2.8615346,3.3294723115693905e-197
L5 IT_5,1,CAMK2D,31.912592,2.0843825,8.576241725429747e-220
L5 IT_5,2,RORB,31.399,3.5675602,5.013310901741676e-213
L5 IT_5,3,FAT3,29.69409,2.292961,1.4651962932315196e-190
L5 IT_5,4,HS3ST2,29.12561,2.7330372,2.0429674832628923e-183
L5 IT_5,5,ANO3,28.470676,2.5886843,2.59645487535871e-175
L5 IT_5,6,NRN1,28.378948,2.5946455,2.944185427288424e-174
L5 IT_5,7,RBM20,28.15002,3.2977812,1.642991745807249e-171
L5 IT_5,8,PART1,27.913578,2.5021982,1.0958410836983773e-168
L5 IT_5,9,PPP3CA,27.79679,1.2358706,2.530741143081675e-167
L5 IT_5,10,RXFP1,26.987137,2.464248,1.0047597167056015e-157
L5 IT_6,1,CAMK2D,32.07822,2.0751908,4.261298306781563e-222
L5 IT_6,2,RBM20,31.684221,3.5745635,6.153702867408082e-217
L5 IT_6,3,FAT3,31.505016,2.457248,1.1869799559389631e-214
L5 IT_6,4,RORB,31.395973,3.5764313,2.7568111897779104e-213
L5 IT_6,5,HS3ST2,28.97975,2.5834305,1.137355176747711e-181
L5 IT_6,6,GRM7,28.692842,1.869914,3.7507002140250075e-178
L5 IT_6,7,NRN1,27.781239,2.4741757,5.015434045104576e-167
L5 IT_6,8,BMPR1B,27.760712,3.4348016,7.766236454862737e-167
L5 IT_6,9,PAK1,27.675781,1.4300692,7.29063061027049e-166
L5 IT_6,10,GRM3,27.647243,2.3715415,1.4464480270173698e-165
L5 IT_7,1,HS3ST2,33.399406,3.386956,6.715154268518778e-241
L5 IT_7,2,SORCS1,32.594635,3.1600308,1.1731405107343273e-229
