n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
354,620,1140,8.90625,9.0,127,128,49,TRABD2A,2.902507440366854
355,621,1141,8.9140625,9.0,127,128,50,SMOC1,2.910319940366854
356,622,1142,8.921875,9.0,127,128,50,ADAMTS9-AS2,2.913442839618936
357,623,1143,8.9296875,9.0,127,128,50,CADPS,2.915477203086412
358,624,1144,8.9375,9.0,127,128,50,CRYBG3,2.9212353945629808
359,625,1145,8.9453125,9.0,127,128,51,STXBP5,2.9243582938150623
360,626,1146,8.953125,9.0,127,128,51,LINC01821,2.927481193067144
361,627,1147,8.9609375,9.0,127,128,51,NRXN1,2.9293175353559975
362,628,1148,8.96875,9.0,127,128,51,DOCK5,2.9371300353559975
363,629,1149,8.9765625,9.0,127,128,51,AC092691.1,2.9402529346080795
364,630,1150,8.984375,9.0,127,128,51,PTPRO,2.94233902723758
365,631,1151,8.9921875,9.0,127,128,51,PCDH11X,2.943515337930178
366,632,1152,9.0,9.0,127,128,52,SEZ6,2.94663823718226
367,633,1153,9.0078125,9.0,127,128,53,AL589693.1,2.9497611364343417
368,634,1154,9.015625,9.0,127,128,53,GPR17,2.9528840356864237
369,635,1155,9.0234375,9.0,127,128,53,PRR16,2.9560069349385056
370,636,1156,9.03125,9.0,127,128,54,NPSR1,2.959129834190587
371,637,1157,9.0390625,9.0,128,128,54,BCAS1,2.966942334190587
372,638,1158,9.046875,9.0,128,128,54,AC092422.1,2.970065233442669
373,639,1159,9.0546875,9.0,128,128,55,RPS6KA2,2.9725593013577876
374,640,1160,9.0625,9.0,128,128,55,NAV2,2.975682200609869
375,641,1161,9.0703125,9.0,128,128,56,MAGI3,2.977756606895994
376,642,1162,9.078125,9.0,128,128,56,CABP1,2.979484523517013
377,643,1163,9.0859375,9.0,128,128,56,WDR49,2.9847265349316867
378,644,1164,9.09375,9.0,128,128,56,YJEFN3,2.9878494341837687
