supertype,gene,frac_snrna,mean_snrna,frac_merfish,mean_merfish,n_cells_snrna,n_cells_merfish
Micro-PVM_2_3-SEAAD,KAZN,0.19047619047619047,0.19047619047619047,0.332,0.5686900827926897,21,1000
Micro-PVM_2_3-SEAAD,NRG1,0.09523809523809523,0.09523809523809523,0.068,0.073,21,1000
Micro-PVM_2_3-SEAAD,HS3ST2,0.047619047619047616,0.047619047619047616,0.173,0.26998187883677355,21,1000
Micro-PVM_2_3-SEAAD,TMEM255A,0.0,0.0,0.127,0.17845960728138544,21,1000
Micro-PVM_2_3-SEAAD,RORB,0.0,0.0,0.19,0.24158337073619787,21,1000
Micro-PVM_2_3-SEAAD,DCN,0.0,0.0,0.135,0.227,21,1000
Micro-PVM_2_3-SEAAD,KIRREL3,0.047619047619047616,0.14285714285714285,0.194,0.27857536646986514,21,1000
Micro-PVM_2_3-SEAAD,CDH6,0.0,0.0,0.079,0.115,21,1000
Micro-PVM_2_3-SEAAD,SCUBE1,0.0,0.0,0.038,0.040694234092691454,21,1000
Micro-PVM_2_3-SEAAD,FEZF2,0.0,0.0,0.128,0.17143458045906323,21,1000
Micro-PVM_2_3-SEAAD,PDGFD,0.0,0.0,0.019,0.019,21,1000
Micro-PVM_2_3-SEAAD,TH,0.0,0.0,0.089,0.09916095272886047,21,1000
Micro-PVM_2_3-SEAAD,PRKG1,0.047619047619047616,0.047619047619047616,0.085,0.0978654303312326,21,1000
Micro-PVM_2_3-SEAAD,FBXL7,0.0,0.0,0.215,0.28433219427290113,21,1000
Micro-PVM_2_3-SEAAD,EYA4,0.0,0.0,0.076,0.084,21,1000
Micro-PVM_2_3-SEAAD,RYR3,0.0,0.0,0.157,0.2756104940858791,21,1000
Micro-PVM_2_3-SEAAD,SOX6,0.0,0.0,0.113,0.13332567634199846,21,1000
Micro-PVM_2_3-SEAAD,HPSE2,0.0,0.0,0.062,0.0708841148762225,21,1000
Micro-PVM_2_3-SEAAD,FGF12,0.3333333333333333,0.3333333333333333,0.049,0.053029923296069786,21,1000
Micro-PVM_2_3-SEAAD,DGKG,0.09523809523809523,0.09523809523809523,0.199,0.24428228218615244,21,1000
Micro-PVM_2_3-SEAAD,SLC14A1,0.0,0.0,0.188,0.32533196662935165,21,1000
Micro-PVM_2_3-SEAAD,SNTB1,0.0,0.0,0.223,0.33978620973617163,21,1000
Micro-PVM_2_3-SEAAD,LRRK1,0.8571428571428571,1.9047619047619047,0.676,1.7309000817195193,21,1000
Micro-PVM_2_3-SEAAD,LHX6,0.0,0.0,0.145,0.29439337050924036,21,1000
Micro-PVM_2_3-SEAAD,CTSS,0.23809523809523808,0.23809523809523808,0.56,1.5599326570983203,21,1000
Micro-PVM_2_3-SEAAD,NOSTRIN,0.0,0.0,0.095,0.23804614105322122,21,1000
Micro-PVM_2_3-SEAAD,ID3,0.0,0.0,0.354,1.0962758239324324,21,1000
Micro-PVM_2_3-SEAAD,SMYD1,0.0,0.0,0.015,0.016,21,1000
Micro-PVM_2_3-SEAAD,SEMA3E,0.0,0.0,0.046,0.051,21,1000
Micro-PVM_2_3-SEAAD,TSHZ2,0.047619047619047616,0.047619047619047616,0.031,0.038,21,1000
Micro-PVM_2_3-SEAAD,PALMD,0.0,0.0,0.166,0.30209783367761817,21,1000
Micro-PVM_2_3-SEAAD,DACH1,0.0,0.0,0.124,0.17161920959947355,21,1000
Micro-PVM_2_3-SEAAD,THEMIS,0.0,0.0,0.045,0.1555684265374729,21,1000
Micro-PVM_2_3-SEAAD,PRRX1,0.0,0.0,0.045,0.048694234092691455,21,1000
Micro-PVM_2_3-SEAAD,PVALB,0.047619047619047616,0.047619047619047616,0.059,0.068,21,1000
Micro-PVM_2_3-SEAAD,ADAMTSL1,0.0,0.0,0.019,0.019,21,1000
Micro-PVM_3-SEAAD,CD22,0.0,0.0,0.139,0.2802214146268275,13,1000
Micro-PVM_3-SEAAD,MEIS2,0.07692307692307693,0.07692307692307693,0.204,0.2775806927223087,13,1000
