group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,round,marker_type,detection_efficiency,eff_source,frac_snrna_in_group,predicted_spatial_detection,composite_score,spatially_validated,best_spatial_r
L6b,23,DCHS2,49.480003356933594,3.2775347232818604,0.0,1,subclass_vs_all,0.1362804363210394,calibrated,0.9543269230769231,0.13005608946983807,6.435175743557243,False,
L6b,24,AP000943.2,49.26520919799805,2.706162929534912,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9863782051282052,0.44559089640838,21.952128728282318,False,
L6b,25,SEMA3A,49.0444450378418,3.3537962436676025,0.0,1,subclass_vs_all,0.0947122983089599,calibrated,0.9310897435897436,0.08818564954728478,4.325016242348187,False,
L6b,26,ROBO2,48.9998893737793,2.7728986740112305,0.0,1,subclass_vs_all,0.0722173236978769,calibrated,1.0,0.0722173236978769,5.307961308099567,True,0.8998046536302271
L6b,27,PCDH11X,48.625823974609375,2.750192165374756,0.0,1,subclass_vs_all,0.1505677686525603,calibrated,1.0,0.1505677686525603,7.321481814749105,False,
L6b,28,MCTP1,48.582786560058594,2.0962393283843994,0.0,1,subclass_vs_all,0.0803933741795469,calibrated,1.0,0.0803933741795469,3.9057341386078526,False,
L6b,29,ERC2,48.145015716552734,1.6415753364562988,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,21.7492444573488,False,
L6b,30,POU6F2,48.1342658996582,3.156870126724243,0.0,1,subclass_vs_all,0.1628479135243724,calibrated,0.9759615384615384,0.15893330021849805,7.650137733027391,False,
L6b,31,FUT9,48.06411361694336,1.8815048933029175,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,21.712697381492056,False,
L6b,32,SYNPO2,47.80674362182617,2.5302398204803467,0.0,1,subclass_vs_all,0.1753394482183422,calibrated,0.9791666666666666,0.17168654304712672,8.20777454677161,False,
L6b,33,RXFP1,47.45866775512695,3.0821709632873535,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.969551282051282,0.43798942701392346,20.786394696912218,False,
L6b,34,COL19A1,47.382816314697266,2.6829440593719482,0.0,1,subclass_vs_all,0.1297263494361839,calibrated,0.9863782051282052,0.12795924371469744,6.063069340701089,False,
L6b,35,NRXN1,47.35489273071289,1.531469702720642,0.0,1,subclass_vs_all,0.2350518129732476,calibrated,1.0,0.2350518129732476,16.69628008426159,True,0.9058863745826192
L6b,36,MARCH1,47.350868225097656,2.3631584644317627,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,21.390492722204836,False,
L6b,37,MIR137HG,47.30296325683594,2.2160487174987793,0.0,1,subclass_vs_all,0.2198085581697557,calibrated,0.9959935897435898,0.21892791490785765,10.355939114782094,False,
L6b,38,DGKG,47.21818923950195,2.5029728412628174,0.0,1,subclass_vs_all,0.3306493099854246,calibrated,0.9943910256410257,0.3287947064839038,23.287636007555207,True,0.731904010193132
L6b,39,DGKH,46.89153289794922,2.3447723388671875,0.0,1,subclass_vs_all,0.1169642895535321,calibrated,0.9807692307692307,0.11471497629288724,5.379161084725387,False,
L6b,40,EPHA5,46.84647750854492,2.2051310539245605,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9951923076923077,0.4495726184721429,21.06089355971289,False,
L6b,41,DLC1,46.84016036987305,2.7376623153686523,0.0,1,subclass_vs_all,0.2780565598804831,calibrated,0.9807692307692307,0.27270931834431994,19.160622308410062,True,0.7812404016994904
L6b,42,SATB2,46.51288986206055,2.7950940132141113,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9983974358974359,0.45102051740442034,31.467401477342044,True,0.9882771868448466
L6b,43,CDH11,46.48820877075195,2.2904534339904785,0.0,1,subclass_vs_all,0.2265223149027225,calibrated,0.9935897435897436,0.2250702487815512,10.463112713441832,False,
L6b,44,ADAMTSL1,46.37202453613281,3.7846648693084717,0.0,1,subclass_vs_all,0.0967920677895856,calibrated,0.9134615384615384,0.08841583115394838,6.150031637480206,True,0.9592859796452108
L6b,45,CACNA2D3,46.358577728271484,1.990813970565796,0.0,1,subclass_vs_all,0.2690096757509605,calibrated,1.0,0.2690096757509605,18.706358944437017,True,0.8125155049277661
L6b,46,AC064875.1,46.33436965942383,3.6487619876861572,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.8645833333333334,0.39057073698183753,18.096848905470058,False,
L6b,47,CNTNAP5,45.941871643066406,2.0644779205322266,0.0,1,subclass_vs_all,0.2363121526323058,calibrated,0.999198717948718,0.23612279994590168,16.271885050674094,True,0.8679959854018724
L6b,48,SH3GL2,45.72220230102539,1.8731811046600342,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9975961538461539,0.450658542671351,20.605101056704797,False,
L6b,49,SEMA3E,45.703712463378906,3.7180697917938232,0.0,1,subclass_vs_all,0.1951367649935716,calibrated,0.8725961538461539,0.17027559060737138,11.673339948976986,True,0.959804661577875
L6b,50,RYR3,45.39740753173828,2.6689565181732178,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9983974358974359,0.45102051740442034,30.712743350675893,True,0.8872768736063075
