celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
Pvalb_8,0.046591902157398,0.0814432236431483,0.567268919363318,0.821658777149494,0.0134174338527299,0.90389724722771,0.96466344872201,0.109861272152517,GABA
Pvalb_9,0.00279021309357155,0.0633167951719527,0.964850596050556,0.97149082511797,0.073940457906708,0.771213666526414,0.91871293943495,0.251177870142305,GABA
Sncg_2,0.156435021146391,0.0917680756534837,0.0882544921167789,0.449295596230874,-0.0422027334181196,0.755802498561506,0.914161117307726,0.134028807544162,GABA
Sncg_3,0.105291701390577,0.0796213067671764,0.186032960233929,0.598072191446786,0.0032063997077734,0.979318240801058,0.987090607791543,0.122297107273372,GABA
Sncg_4,0.0520219508979945,0.0691921231602314,0.452142546414682,0.803808971403879,-0.0838802407209735,0.533372024097754,0.826076183663594,0.13256263686555,GABA
Sncg_5,0.0445513218455823,0.084773401382908,0.599211883683548,0.821658777149494,-0.109989058779311,0.345446575637347,0.645172280969751,0.11409390611301,GABA
Sncg_6,-0.0103128261200601,0.0679043987207581,0.87928732047108,0.962874708026208,0.110489894622617,0.520008690441228,0.826076183663594,0.169010707201725,GABA
Sncg_8,0.0578770267915499,0.0690400118733975,0.401855853010537,0.800532468051699,0.0126285974733318,0.932182133527598,0.968913576262242,0.146719850746169,GABA
Sst Chodl_1,-0.00294222893356508,0.0823264584605303,0.97149082511797,0.97149082511797,0.180984199706193,0.260226312825691,0.616544425962061,0.156636188504243,GABA
Sst Chodl_2,0.164339110036894,0.0847404866062928,0.0524621128349649,0.326430924306449,-0.351555737185301,0.0058334005091452,0.240174035836517,0.115236340590818,GABA
Sst_1,0.103949814034331,0.0715932929217199,0.146515771051783,0.565854012337919,0.0152269136780485,0.921841058290974,0.968913576262242,0.153435824664922,GABA
Sst_10,0.043232042152414,0.065026390250111,0.506153850000635,0.821658777149494,0.140705829480765,0.193748376630903,0.506258211341359,0.104982817056887,GABA
Sst_11,-0.0974402839784114,0.0895285362456946,0.276431252433034,0.703643188011359,0.078663672447762,0.640317990801092,0.891746888163519,0.166045519330808,GABA
Sst_12,-0.0635748469180131,0.0778665828586414,0.414237850846071,0.800532468051699,-0.256624002075973,0.30372507163217,0.622146517698156,0.24372165279125,GABA
Sst_13,-0.0320282054588326,0.0580671399811957,0.581241660807473,0.821658777149494,-0.172964676775361,0.283476505440138,0.620715796394784,0.157350585371733,GABA
Sst_19,-0.0334442012981033,0.0547955433453502,0.541633107414965,0.821658777149494,-0.222990089653458,0.0933967919948987,0.382625567204907,0.12718737710992,GABA
Sst_2,-0.26741001574327,0.0688726206158832,0.000103313529290417,0.00578555764026334,-0.26462094168453,0.225661765024123,0.561942042314974,0.212316629059603,GABA
Sst_20,-0.230192319591714,0.0880958419795266,0.00897576086136699,0.1116983573859,-0.10896214832823,0.276941899987472,0.620715796394784,0.0977520728407129,GABA
Sst_22,-0.359835509792606,0.0960156740137484,0.000178481539177478,0.00666331079595917,-0.416991232498013,0.14983753291786,0.484263250888579,0.279503578432295,GABA
Sst_25,-0.301170059359354,0.0968889189052114,0.00188099717896836,0.0351119473407427,-0.453277119703325,0.101032603162315,0.388822442473153,0.264899001803368,GABA
Sst_3,-0.153911430887598,0.0618330705292225,0.0128051005420305,0.119514271725618,-0.338255014131594,0.0144428181403662,0.240174035836517,0.127440314090614,GABA
Sst_4,0.0621910769567768,0.0757930191441086,0.41190929065307,0.800532468051699,0.0997031183761084,0.4630186303869,0.773728500778109,0.133500228198317,GABA
Sst_5,0.0744552264211469,0.0764863041866576,0.330332078705011,0.744689252885209,0.184161283204944,0.0558798710323682,0.315909782451647,0.0912636779044948,GABA
Sst_7,0.0599642709635249,0.0764833117665936,0.433029718504833,0.800532468051699,0.0087485098642238,0.946025853988331,0.968913576262242,0.127770847942557,GABA
Sst_9,-0.0302427830193869,0.0591102988150425,0.608907843780429,0.821658777149494,-0.189049582763172,0.367491010907133,0.666733691217227,0.205489903764228,GABA
Vip_1,-0.0178071033864489,0.0530416186692592,0.737082432450194,0.917258138160242,0.0438866962928872,0.711948676295365,0.891746888163519,0.117338429689827,GABA
Vip_11,0.0441486965528388,0.0569413843628569,0.438141231689789,0.800532468051699,-0.079034805552286,0.693935363860987,0.891746888163519,0.198232655197142,GABA
Vip_12,-0.0211506523040725,0.0774640885647288,0.784823881218903,0.925266049437023,-0.294334708911888,0.0874455605023168,0.382625567204907,0.164602235999145,GABA
Vip_13,0.0247018971976037,0.0687169101290667,0.719241018413868,0.90511229283543,-0.422246182149567,0.0299543069399169,0.244876369427371,0.182013687709087,GABA
Vip_14,0.0958330681701928,0.0783092054558653,0.221036056376014,0.634770213182399,0.0702744080136852,0.583835702516392,0.872319226112727,0.126409461317314,GABA
Vip_15,0.00406316828870772,0.0489998493918581,0.933913515741027,0.97149082511797,-0.185343406952281,0.298179968124745,0.622146517698156,0.173967536127594,GABA
Vip_16,0.0629159591533418,0.0742858851856683,0.397026527862327,0.800532468051699,0.137211353150211,0.18341909454011,0.495621808650934,0.0999164172062428,GABA
Vip_18,0.0195859196219706,0.0672765746531861,0.770955415429007,0.925266049437023,-0.178079640229723,0.34406940469354,0.645172280969751,0.184188226071413,GABA
Vip_19,0.0393691654011696,0.0503717535590032,0.434465993196398,0.800532468051699,-0.157613120043379,0.123384334371203,0.435272512920634,0.0984008924072402,GABA
Vip_2,-0.059243446252983,0.0622428388328399,0.341192617577021,0.749285748404438,-0.140142190542637,0.351859939163674,0.647626264837486,0.147359511426432,GABA
Vip_21,0.0526529489061597,0.0686585092942454,0.44315190195719,0.800532468051699,-0.0358550457750814,0.75265587591275,0.914161117307726,0.112369703851847,GABA
Vip_23,-0.0075925572026961,0.045726040803099,0.868121936813929,0.962874708026208,-0.295096051926038,0.0134365241315278,0.240174035836517,0.109845086700276,GABA
Vip_4,0.00514207574280516,0.0523657225759256,0.921777094622364,0.97149082511797,0.100374924545952,0.461248554508078,0.773728500778109,0.133862849851161,GABA
Vip_5,-0.0468813247277133,0.0729127048907462,0.520237845151181,0.821658777149494,0.311825899608204,0.13190282094988,0.440833112121967,0.199324946318522,GABA
Vip_6,0.0744698826616379,0.0715707042401554,0.298103998985691,0.726244103310659,-0.0828003783507446,0.599201561049079,0.878110968963448,0.15528716049154,GABA
Vip_9,0.0772172206634029,0.0670695383909732,0.249608462426257,0.665622566470018,-0.109752983792952,0.427608492399849,0.743921623764121,0.135809508603032,GABA
