stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr
L2/3,OPC,-0.0008389332272916912,0.0007362807875141254,0.2679913313430324,0.0005444136257967218,0.46953721938093207,6.463852254505002e-05,0.14588349273158638,0.16442166002854786,24,0.5136500517408121
L2/3,L2/3 IT,0.017262623521453323,0.018383020145075913,0.3589072574784202,0.018823039244408285,0.31947803146118897,-0.001906249924681861,0.08905439267340105,0.18029434984047732,24,0.6349897632310513
L2/3,L5/6 NP,-1.735350659879442e-05,2.3712568282792524e-05,0.4727628873900396,1.2686086671595367e-05,0.5996182402418055,6.468962499843856e-07,0.643292665295863,0.04646000965393482,24,0.744265100392454
L2/3,Pax6,0.0018863683599184859,0.0026537108511057966,0.4853902828646439,-0.0020774114165425846,0.4442161255394852,-5.505542524022108e-05,0.7243985019551509,0.0560430744396101,24,0.744265100392454
L2/3,L6 CT,-1.024266355740673e-05,1.748413042988475e-05,0.5645453016712839,2.0940305281856702e-05,0.24638633722209127,-8.774226032793924e-07,0.3973133964257636,0.10394161064220997,24,0.7635643441630993
L2/3,VLMC,0.017502502979107833,0.03149450909043226,0.5845580200399685,-0.019100334502449218,0.5521866887586346,0.0033208464212985686,0.08417165398332743,0.16863145072966435,24,0.7635643441630993
L2/3,Vip,0.001655691734277257,0.003086448775122713,0.5975720954319907,0.00019214817213947417,0.9511210258369054,-0.0003653132446125216,0.0547725332772765,0.17576590532120573,24,0.7635643441630993
L2/3,Astrocyte,-0.0023196007496897562,0.005180565297446579,0.6591454566435582,-0.00866564570566854,0.11093493408658374,0.0005336468940440101,0.09104160893437259,0.21053739627022405,24,0.7758901213214023
L2/3,L5 ET,3.192171599228032e-05,7.494089297805181e-05,0.6746870620186107,-1.1538796644053375e-05,0.8795264693932925,3.877177564307115e-06,0.38314271213040285,0.05230698194228145,24,0.7758901213214023
L2/3,Sncg,0.0002700542815998637,0.0009367128176984392,0.7760837503652864,0.00034771208793764243,0.7151868914530227,-6.736300940952508e-05,0.22950506000442103,0.07391268774719251,24,0.8499964884953137
L2/3,Lamp5 Lhx6,-2.3641192498373388e-05,0.00037539072130452,0.9504095387814822,-0.0002745889281985033,0.4742559153710074,-3.0164861931668394e-05,0.18130564500037957,0.1261633045075915,24,0.9769656554765076
L2/3,Sst,-6.500026509354993e-05,0.002223248179580014,0.9769656554765076,0.0006925864263303229,0.7593138644685742,-0.00020351994259106213,0.13029644702969634,0.11341955492844058,24,0.9769656554765076
L4,Oligodendrocyte,-0.03232492391055739,0.009225675308889944,0.002235366889200331,0.012006224651067082,0.20920120388390173,0.000843318758115896,0.13081933500517914,0.4293928006001937,24,0.053648805340807945
L4,L5 IT,0.0022250818010669366,0.0009310229263969375,0.026810706125344797,-0.0016422265874851366,0.0939176329320377,9.053656127754153e-06,0.8685737503042953,0.2953083371114523,24,0.2140443375720148
L4,VLMC,0.045746652243373986,0.01930284592154221,0.027959437176112927,-0.015018614207877916,0.4469622864897278,0.0012123052055019704,0.29191225631542805,0.2813563982832945,24,0.2140443375720148
L4,L6b,0.001910617682538085,0.0009182540262062128,0.05052673652801264,-0.0008668940899773415,0.35778364729772727,2.5812146182545713e-05,0.633292823499199,0.21375272696022007,24,0.2140443375720148
L4,Chandelier,-0.005302895611505995,0.0028568367112532223,0.07821820611461511,-0.0015504110573330314,0.5944084094395673,-0.00013635994789625597,0.4203853996187844,0.21018269305454107,24,0.2140443375720148
L4,Pax6,0.004111196784061606,0.0022461029135753736,0.08213908489738209,-0.0020493001226656237,0.3738121603719914,-0.0001164980756679511,0.38196887783276645,0.18618618684609423,24,0.2140443375720148
L4,Vip,-0.0028048601842778718,0.001537890530277315,0.08315697683836269,0.0024125442803072565,0.13347181227556587,-0.000113915893517714,0.21632845636038936,0.26610693207463954,24,0.2140443375720148
L4,Endothelial,-0.007135770827616517,0.003928188571935274,0.08430438557801909,0.0001880370461877709,0.9624062512164613,-0.0006512186610338845,0.009735772616913536,0.4020164286311624,24,0.2140443375720148
L4,Microglia-PVM,-0.009187522094285883,0.0050660520553339515,0.08478247896507396,0.002822321443870438,0.5847335335090385,-0.0006670392005398529,0.034457914019179726,0.3283872993097836,24,0.2140443375720148
L4,L4 IT,0.006825220791045112,0.0038204089769181093,0.08918514065500617,-0.0025342442048826297,0.5159054090998841,-0.0006659511248684831,0.007005101213637715,0.37242166027190304,24,0.2140443375720148
L4,Pvalb,0.0017638603322046881,0.0010465037874391589,0.10743632090671335,-0.001893976142381259,0.08623390171283944,1.0859736827998462e-05,0.8598470488813628,0.2237452445537219,24,0.23440651834192003
L4,Sst Chodl,-0.000654844237159184,0.00045933267904676897,0.1693932159026326,-0.0006111514806257804,0.19958485332066223,-1.728288178958601e-05,0.5240254339899564,0.2063604407164077,24,0.3387864318052652
L4,L5/6 NP,-7.567647581563087e-05,5.65940841109732e-05,0.19617466183122875,-8.239850953203221e-05,0.1620961908683745,3.699569787859535e-06,0.27319966425823833,0.19013046750896412,24,0.35952067651959857
L4,L6 IT,0.004802788370869394,0.003705751084203952,0.20972039463643252,0.0005249992668957433,0.8890809388072043,-9.766468668768273e-05,0.6545393082257548,0.08217110595633215,24,0.35952067651959857
