stratum,celltype,scz_mean,ctrl_mean,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr_global,pval_fdr_stratum
L6,L2/3 IT_7,0.007418960284679634,0.004800228043514759,0.002618732241164875,0.6280080036588976,12,12,104.0,0.06896433333905405,0.33475384652482554,0.3267265537973636
L4,L5 IT_6,0.0018357506783675582,0.0010125519845675089,0.0008231986938000493,0.85773572165425,12,12,104.0,0.06896433333905405,0.33475384652482554,0.3162005535376095
L5,Oligo_4,0.1380234302498827,0.1691003766078489,-0.031076946357966206,-0.2929647585286829,12,12,40.0,0.06896433333905405,0.33475384652482554,0.3238325217659929
L2/3,L2/3 IT_7,0.18267344490754392,0.1569829305767034,0.02569051433084052,0.2186579360624211,12,12,104.0,0.06896433333905405,0.33475384652482554,0.3452435916723879
L2/3,Pvalb_5,0.0049308325098712915,0.006286773498169832,-0.0013559409882985402,-0.35042544377536633,12,12,40.0,0.06896433333905405,0.33475384652482554,0.3452435916723879
L2/3,OPC_1,0.0007708991158654751,0.0009808614922828752,-0.00020996237641740013,-0.3471072176939074,12,12,40.0,0.06896433333905405,0.33475384652482554,0.3452435916723879
L6,L2/3 IT_12,0.0144662512916307,0.009535906092530617,0.004930345199100083,0.601197626234778,12,12,104.0,0.06896433333905405,0.33475384652482554,0.3267265537973636
L4,Micro-PVM_2,0.027392894953265884,0.03827659101090306,-0.010883696057637178,-0.4826456293762312,12,12,40.0,0.06896433333905405,0.33475384652482554,0.3162005535376095
L4,Oligo_2,0.0009363606170338999,0.0002367546533240595,0.0006996059637098404,1.9791306038991099,12,12,104.0,0.06896433333905405,0.33475384652482554,0.3162005535376095
L5,Lamp5_2,0.00500130383308415,0.006151282890329709,-0.0011499790572455596,-0.29852915440268524,12,12,40.0,0.06896433333905405,0.33475384652482554,0.3238325217659929
L4,L6b_3,0.0002346923267847417,0.00014744020587074567,8.725212091399603e-05,0.6670228838620089,12,12,103.5,0.0713001248173041,0.33475384652482554,0.3162005535376095
L4,Pvalb_3,0.00016337483824484166,0.00041238643630320124,-0.0002490115980583596,-1.330501578309996,12,12,41.0,0.07462616682728503,0.33475384652482554,0.31716120901596134
L2/3,L2/3 IT_5,0.0007935450577417335,0.0004571534176845049,0.0003363916400572286,0.7942982540347545,12,12,103.0,0.07825222852623706,0.33475384652482554,0.3452435916723879
L2/3,L2/3 IT_2,0.01335396691455845,0.017507259708321225,-0.004153292793762775,-0.3906592875668608,12,12,41.0,0.07825222852623706,0.33475384652482554,0.3452435916723879
L6,L6b_4,0.0008359290046773335,0.0005305625852295416,0.0003053664194477919,0.6548656844038563,12,12,103.0,0.07825222852623706,0.33475384652482554,0.3267265537973636
L6,Sst_11,0.0021426804137004503,0.0015718585146796,0.0005708218990208504,0.4467009404983742,12,12,103.0,0.07825222852623706,0.33475384652482554,0.3267265537973636
L5,Sst_1,0.0002721159485353235,0.0004671075179731167,-0.0001949915694377932,-0.777326373063455,12,12,41.0,0.07825222852623706,0.33475384652482554,0.340440202570859
L6,Sncg_6,0.0001160260148814,4.637308974703334e-05,6.965292513436667e-05,1.304689601619137,12,12,99.0,0.07857152293353502,0.33475384652482554,0.3267265537973636
L4,L6b_5,3.9551959078683335e-05,0.0,3.9551959078683335e-05,5.341699708092649,12,12,90.0,0.0788056024469581,0.33475384652482554,0.32152685798358904
L2/3,L5 IT_2,2.3997548044367155e-05,0.0,2.3997548044367155e-05,4.643714685866106,12,12,90.0,0.0788056024469581,0.33475384652482554,0.3452435916723879
L5,Vip_13,0.0,3.172756208752278e-05,-3.172756208752278e-05,-5.032434233315365,12,12,54.0,0.0788056024469581,0.33475384652482554,0.340440202570859
L2/3,L6b_6,4.048657782059882e-05,0.0,4.048657782059882e-05,5.3745727507742975,12,12,90.0,0.0788056024469581,0.33475384652482554,0.3452435916723879
L6,L5/6 NP_2,2.1497275091358334e-05,0.00011733057800807996,-9.583330291672163e-05,-2.3950007557281072,12,12,46.0,0.07939149905356499,0.33475384652482554,0.3267265537973636
L6,Astro_3,0.005107813917564675,0.001557475268094725,0.00355033864946995,1.7128531276632566,12,12,102.5,0.08319748174071813,0.34722214318320116,0.32970853875025335
